Nom	Chevaux	Partants	Victoires	Places	Allocation tot.	Prime Prop.	Alloc. + Prime Prop.	Prim. Eleveur	Gain/Part.	Gain/Chev.	Course/Chev.
MICKAEL BARZALONA	137	180	46	88	1150703,00	421534,00	1572237,00	136372,00	6392,79	8399	1
MAXIME GUYON	129	167	34	90	928129,00	465335,00	1393464,00	139620,00	5557,66	7195	1
MARVIN GRANDIN	217	296	30	174	724748,00	398760,00	1123508,00	124836,00	2448,47	3340	1
ANTONIO ORANI	108	148	30	84	461890,00	249343,00	711233,00	78879,00	3120,88	4277	1
CRISTIAN DEMURO	216	284	26	175	861714,00	446027,00	1307741,00	141615,00	3034,20	3989	1
ALEXIS POUCHIN	140	182	26	99	757249,00	289132,00	1046381,00	97956,00	4160,71	5409	1
CHRISTOPHE SOUMILLON	115	147	22	90	699947,00	284465,00	984412,00	83528,00	4761,54	6086	1
AUGUSTIN MADAMET	130	171	18	98	390308,00	176016,00	566324,00	64798,00	2282,50	3002	1
AURELIEN LEMAITRE	134	179	18	97	473761,00	252251,00	726012,00	76297,00	2646,71	3536	1
HUGO BESNIER	75	113	18	75	307491,00	173945,00	481436,00	57452,00	2721,16	4100	2
TONY PICCONE	136	201	16	102	403612,00	163080,00	566692,00	52122,00	2008,02	2968	1
CLEMENT LECOEUVRE	121	158	16	85	460220,00	220338,00	680558,00	64684,00	2912,78	3803	1
MME DELPHINE SANTIAGO	96	123	15	50	189289,00	80664,00	269953,00	30734,00	1538,93	1972	1
HUGO LEBOUC	92	117	13	60	171488,00	78008,00	249496,00	29784,00	1465,71	1864	1
ANTHONY CRASTUS	118	163	12	89	247932,00	127723,00	375655,00	45707,00	1521,06	2101	1
GUILLAUME GUEDJ-GAY	50	68	12	39	175834,00	88183,00	264017,00	33236,00	2585,79	3517	1
ALEXANDRE GAVILAN	49	72	12	39	159208,00	52290,00	211498,00	30053,00	2211,22	3249	1
HUGO BOUTIN	104	153	11	88	269139,00	129869,00	399008,00	42894,00	1759,08	2588	1
LUDOVIC BOISSEAU	109	151	11	71	236192,00	118736,00	354928,00	41421,00	1564,19	2167	1
DORIAN PROVOST	81	107	11	59	206021,00	91160,00	297181,00	34730,00	1925,43	2543	1
JEROME CLAUDIC	85	112	11	54	174154,00	79256,00	253410,00	30426,00	1554,95	2049	1
ANTOINE WERLE	59	88	11	49	189894,00	95715,00	285609,00	34565,00	2157,89	3219	1
THOMAS TRULLIER	115	151	10	83	219995,00	99996,00	319991,00	34140,00	1456,92	1913	1
THEO BACHELOT	114	148	10	71	311232,00	158677,00	469909,00	53448,00	2102,92	2730	1
AXEL BARON	53	74	10	34	104228,00	46735,00	150963,00	19526,00	1408,49	1967	1
MME FRIDA VALLE SKAR	69	107	9	48	216855,00	106759,00	323614,00	41012,00	2026,68	3143	2
MALONE FAVRIAUX	72	93	9	48	170685,00	70828,00	241513,00	22568,00	1835,32	2371	1
MARTIN PROTTI	46	59	9	31	100803,00	31755,00	132558,00	11450,00	1708,53	2191	1
ANTOINE HAMELIN	83	119	8	69	223851,00	123879,00	347730,00	38168,00	1881,10	2697	1
EDDY HARDOUIN	93	129	8	60	190528,00	89226,00	279754,00	31365,00	1476,96	2049	1
CHRISTOPHER GROSBOIS	60	71	8	40	92959,00	30904,00	123863,00	14962,00	1309,28	1549	1
FABRICE VERON	104	128	7	59	144940,00	60370,00	205310,00	22227,00	1132,34	1394	1
MME AMBRE MOLINS	63	91	7	41	117969,00	55874,00	173843,00	19859,00	1296,36	1873	1
MME MARIE WALDHAUSER	54	67	7	36	83080,00	28387,00	111467,00	15350,00	1240,00	1539	1
PIERRE REMOUE	52	63	7	34	100574,00	36174,00	136748,00	17944,00	1596,41	1934	1
ENZO CORALLO	59	69	7	30	115720,00	60470,00	176190,00	20568,00	1677,10	1961	1
GUILLAUME TROLLEY DE PREVAUX	31	40	7	20	106950,00	54666,00	161616,00	20242,00	2673,75	3450	1
JEREMY MOISAN	14	18	7	11	45067,00	20088,00	65155,00	8117,00	2503,72	3219	1
STEPHANE PASQUIER	70	91	6	48	235593,00	102772,00	338365,00	30988,00	2588,93	3366	1
MME CORALIE PACAUT	65	85	6	48	96944,00	44902,00	141846,00	15791,00	1140,52	1491	1
JULIEN GUILLOCHON	50	71	6	40	78419,00	27413,00	105832,00	13680,00	1104,49	1568	1
MAXIME FOULON	57	81	6	39	121962,00	26519,00	148481,00	21984,00	1505,70	2140	1
LEO ROUSSEL	50	72	6	39	107042,00	35795,00	142837,00	17165,00	1486,69	2141	1
JEAN-BERNARD EYQUEM	29	32	6	20	104476,00	52138,00	156614,00	16985,00	3264,88	3603	1
GABRIEL BON	17	25	6	16	38665,00	21574,00	60239,00	7298,00	1546,60	2274	1
LEONARD PLOMMEE	23	29	6	12	74620,00	21553,00	96173,00	8689,00	2573,10	3244	1
FABIEN LEFEBVRE	42	65	5	41	86987,00	32341,00	119328,00	14571,00	1338,26	2071	2
DAVID BREUX	66	85	5	41	79862,00	37918,00	117780,00	14480,00	939,55	1210	1
BENJAMIN MARIE	52	72	5	40	103091,00	40550,00	143641,00	16837,00	1431,82	1983	1
MME LORETTE GALLO	31	61	5	32	96475,00	53447,00	149922,00	16543,00	1581,56	3112	2
PIERRE BAZIRE	55	74	5	32	86539,00	29632,00	116171,00	11916,00	1169,45	1573	1
GLEN MEURY	62	69	5	29	63746,00	30446,00	94192,00	10756,00	923,86	1028	1
XAVIER BERGERON	32	45	5	18	60122,00	20479,00	80601,00	9471,00	1336,04	1879	1
EMILIEN PUILLET-RODA	29	32	5	17	49398,00	21460,00	70858,00	8666,00	1543,69	1703	1
MME MARGOT ROMARY	38	46	5	15	45303,00	12478,00	57781,00	7901,00	984,85	1192	1
MICKAEL FOREST	46	63	4	39	97568,00	30718,00	128286,00	16331,00	1548,70	2121	1
RONAN THOMAS	37	70	4	37	160341,00	106215,00	266556,00	29216,00	2290,59	4334	2
MME LAURA POGGIONOVO	47	61	4	32	69530,00	19308,00	88838,00	10593,00	1139,84	1479	1
ALEJANDRO GUTIERREZ VAL	38	56	4	27	71384,00	27320,00	98704,00	8104,00	1274,71	1879	1
VALENTIN SEGUY	38	47	4	24	77109,00	23935,00	101044,00	12354,00	1640,62	2029	1
MME ADELINE MEROU	29	38	4	21	43277,00	11364,00	54641,00	8167,00	1138,87	1492	1
COSTANTINO CARBONI	33	40	4	17	50310,00	25216,00	75526,00	8704,00	1257,75	1525	1
JORDAN PLATEAUX	26	30	4	17	38275,00	12214,00	50489,00	6686,00	1275,83	1472	1
DYLAN ALBERCA-GAVILAN	15	22	4	7	28378,00	15919,00	44297,00	5817,00	1289,91	1892	1
ANTHONY GIREL	17	22	4	7	21186,00	9656,00	30842,00	3035,00	963,00	1246	1
MME SOPHIE TISON	20	26	4	6	52235,00	20159,00	72394,00	5996,00	2009,04	2612	1
HUGO JOURNIAC	53	68	3	32	86057,00	44958,00	131015,00	12858,00	1265,54	1624	1
MAXIMILIEN JUSTUM	43	63	3	28	58349,00	24649,00	82998,00	10806,00	926,17	1357	1
WARREN LEVESQUE	35	42	3	24	43377,00	19111,00	62488,00	6964,00	1032,79	1239	1
ANTHONY BERNARD	35	46	3	17	36955,00	14670,00	51625,00	6647,00	803,37	1056	1
JACKY NICOLEAU	29	36	3	13	34371,00	13463,00	47834,00	5493,00	954,75	1185	1
MAXENCE MARQUETTE	32	41	3	13	33675,00	17735,00	51410,00	5475,00	821,34	1052	1
RICARDO MANUEL SOUSA FERREIRA	20	24	3	11	44463,00	21276,00	65739,00	6998,00	1852,63	2223	1
NICOLAS BAUDET	30	40	3	10	35467,00	20171,00	55638,00	7069,00	886,68	1182	1
VINCENT CHENET	15	21	3	8	39169,00	2572,00	41741,00	7070,00	1865,19	2611	1
MME MATHILDE CABAL	20	27	3	8	28461,00	14629,00	43090,00	5598,00	1054,11	1423	1
LAURENT DOREAU	13	14	3	7	27255,00	526,00	27781,00	4912,00	1946,79	2097	1
MME SIBYLLE VOGT	12	13	3	6	45062,00	14978,00	60040,00	4515,00	3466,31	3755	1
TIMOTHE BREBION	15	16	3	5	21485,00	5718,00	27203,00	2206,00	1342,81	1432	1
LUCAS ZULIANI	5	7	3	3	39900,00	0,00	39900,00	7181,00	5700,00	7980	1
MARTIN SEIDL	5	6	3	1	25222,00	129,00	25351,00	39,00	4203,67	5044	1
IORITZ MENDIZABAL	73	95	2	63	139146,00	63999,00	203145,00	24000,00	1464,69	1906	1
YOANN ROUSSET	33	48	2	27	51734,00	19891,00	71625,00	8759,00	1077,79	1568	1
SAMY LE QUILLEUC	35	48	2	25	61472,00	36517,00	97989,00	11786,00	1280,67	1756	1
MATTHIAS LAURON	34	43	2	25	33384,00	8170,00	41554,00	6113,00	776,37	982	1
HUGO MOUESAN	49	55	2	24	50127,00	13868,00	63995,00	6789,00	911,40	1023	1
OLIVIER D' ANDIGNE	36	47	2	21	49686,00	19562,00	69248,00	8759,00	1057,15	1380	1
MME PERRINE CHEYER	48	60	2	20	30555,00	12321,00	42876,00	5062,00	509,25	637	1
MME MARINA BRUNELLI	27	37	2	19	27383,00	16793,00	44176,00	5583,00	740,08	1014	1
CLEMENT CADEL	30	38	2	18	39313,00	12923,00	52236,00	7087,00	1034,55	1310	1
BERTRAND FLANDRIN	27	32	2	17	32500,00	10024,00	42524,00	3605,00	1015,63	1204	1
NUNO MANUEL LOPES DUARTE	40	53	2	17	30341,00	13908,00	44249,00	4969,00	572,47	759	1
CLEMENT MERILLE	19	30	2	15	43435,00	4542,00	47977,00	7479,00	1447,83	2286	2
CHRISTOPHER RAIMBAULT	25	28	2	15	24257,00	5813,00	30070,00	4048,00	866,32	970	1
EBBE VERHESTRAETEN	22	28	2	14	42414,00	27718,00	70132,00	6637,00	1514,79	1928	1
GIOVANNI SIAS	24	27	2	14	38688,00	16386,00	55074,00	5945,00	1432,89	1612	1
MME MANON FLEURY	16	22	2	12	25794,00	12869,00	38663,00	5021,00	1172,45	1612	1
MME LUANA DUPELIN LALUNG	11	14	2	12	16785,00	8830,00	25615,00	3326,00	1198,93	1526	1
FRANCK TORRALBA	10	16	2	11	17320,00	8154,00	25474,00	3306,00	1082,50	1732	2
ARTHUR VILCHIEN	14	17	2	9	22884,00	10161,00	33045,00	4358,00	1346,12	1635	1
ARNAUD BOURGEAIS	16	19	2	8	30032,00	15361,00	45393,00	6292,00	1580,63	1877	1
BRANDON FLAMENT	15	17	2	8	26780,00	5919,00	32699,00	2639,00	1575,29	1785	1
GARY SANCHEZ	17	20	2	8	21827,00	10389,00	32216,00	3862,00	1091,35	1284	1
KEVIN GAUDEFFROY	16	16	2	8	14280,00	2847,00	17127,00	2377,00	892,50	892	1
CHRISTOPHE BILLARDELLO	11	17	2	7	17657,00	6985,00	24642,00	2777,00	1038,65	1605	2
PIERRE LE DIGABEL	10	11	2	6	22378,00	7102,00	29480,00	4002,00	2034,36	2238	1
CEDRIC REYNAUD	7	8	2	6	10910,00	5457,00	16367,00	2124,00	1363,75	1559	1
LEO-PAUL BRECHET	11	11	2	5	24386,00	3639,00	28025,00	3862,00	2216,91	2217	1
MME ELAURA CIESLIK	8	9	2	5	21660,00	252,00	21912,00	3866,00	2406,67	2708	1
COLIN KEANE	5	6	2	3	67700,00	0,00	67700,00	0,00	11283,33	13540	1
MME COLINE SAULOUP	5	6	2	2	14850,00	6277,00	21127,00	1863,00	2475,00	2970	1
ROSARIO MANGIONE	52	68	1	33	56120,00	26126,00	82246,00	9056,00	825,29	1079	1
MME MANON GERMAIN	42	55	1	31	50406,00	21540,00	71946,00	7009,00	916,47	1200	1
MME MARIE VELON	35	37	1	19	24059,00	13916,00	37975,00	4396,00	650,24	687	1
ARTHUR MOSSE	23	34	1	18	35585,00	14797,00	50382,00	5390,00	1046,62	1547	1
MME JULIA LACROIX	16	30	1	15	23420,00	10534,00	33954,00	4264,00	780,67	1464	2
YOANN BARILLE	30	34	1	14	16925,00	3858,00	20783,00	3065,00	497,79	564	1
MME SARAH AKARI-SOUIDANE	21	25	1	12	13530,00	8712,00	22242,00	2887,00	541,20	644	1
MME ALISON MASSIN	14	19	1	11	21193,00	14890,00	36083,00	4419,00	1115,42	1514	1
MME AXELLE DUQUESNOY	9	15	1	9	22080,00	8538,00	30618,00	3573,00	1472,00	2453	2
LUKA ROUSSEAU	11	12	1	8	18310,00	1824,00	20134,00	3326,00	1525,83	1665	1
LUCA CARBONI	14	16	1	8	12779,00	1643,00	14422,00	500,00	798,69	913	1
MICHEL WENDEL	8	9	1	7	17105,00	4225,00	21330,00	3156,00	1900,56	2138	1
MME LEANE DAVID	10	15	1	7	15100,00	6613,00	21713,00	2729,00	1006,67	1510	2
GABRIEL ROTH LE VAILLANT	8	11	1	7	11360,00	5982,00	17342,00	1839,00	1032,73	1420	1
MME MAELIE PIEN	8	12	1	5	16475,00	8620,00	25095,00	3260,00	1372,92	2059	2
MAEL GRONDIN	9	11	1	5	14961,00	7124,00	22085,00	2856,00	1360,09	1662	1
EMANUELE SOLINAS	7	12	1	5	13223,00	8542,00	21765,00	2703,00	1101,92	1889	2
CLEMENT GUITRAUD	6	6	1	5	11650,00	0,00	11650,00	2017,00	1941,67	1942	1
FRANCK FORESI	10	11	1	4	8591,00	3075,00	11666,00	1563,00	781,00	859	1
LEON WOLFF	4	5	1	3	22264,00	15288,00	37552,00	4574,00	4452,80	5566	1
JENTE MARIEN	12	13	1	3	11087,00	4955,00	16042,00	1975,00	852,85	924	1
HAKIM TABET	5	5	1	2	9142,00	3776,00	12918,00	1079,00	1828,40	1828	1
SHANE FOLEY	2	2	1	1	40260,00	0,00	40260,00	0,00	20130,00	20130	1
QUENTIN GAIGNARD	2	2	1	1	5600,00	0,00	5600,00	896,00	2800,00	2800	1
SANDRO GESSA	3	4	1	1	4650,00	2092,00	6742,00	875,00	1162,50	1550	1
BOLOT KALYSBEK UULU	3	3	1	0	9100,00	0,00	9100,00	0,00	3033,33	3033	1
MME MARGOT BESNARD	2	3	1	0	5000,00	0,00	5000,00	900,00	1666,67	2500	2
ESTEBAN METIVIER	1	1	1	0	5000,00	0,00	5000,00	900,00	5000,00	5000	1
MME NINON MARTEL	2	2	1	0	4500,00	2025,00	6525,00	554,00	2250,00	2250	1
MME CANDICE SPERRY	8	10	1	0	4000,00	3000,00	7000,00	595,00	400,00	500	1
TRISTAN LEMAGNEN	1	1	1	0	4000,00	0,00	4000,00	640,00	4000,00	4000	1
MAEL LE CALLONEC	30	36	0	22	28420,00	11385,00	39805,00	5101,00	789,44	947	1
ROMAIN DUBORD	39	53	0	21	23078,00	7186,00	30264,00	3166,00	435,43	592	1
ADRIAN LE LAY MARTIN	20	23	0	17	19119,00	8476,00	27595,00	3329,00	831,26	956	1
MATHIEU CALBRIX	24	31	0	16	15415,00	4392,00	19807,00	1509,00	497,26	642	1
MME LAURA GROSSO	25	29	0	15	19414,00	5895,00	25309,00	3573,00	669,45	777	1
MME CAMILLE COLLET-VIDAL	6	16	0	11	18361,00	5646,00	24007,00	1862,00	1147,56	3060	3
MME ANAELLE MEKOUCHE	20	23	0	10	18884,00	7820,00	26704,00	3429,00	821,04	944	1
THOMAS BLANCHOUIN	12	16	0	9	12727,00	3788,00	16515,00	1681,00	795,44	1061	1
RICHARD JUTEAU	22	27	0	9	9727,00	2966,00	12693,00	1584,00	360,26	442	1
MOHAMMAD ZEESHAAN SAHEBJAN	15	19	0	8	8710,00	974,00	9684,00	1039,00	458,42	581	1
JAMES WILLIAM DOYLE	8	10	0	7	61020,00	13895,00	74915,00	4189,00	6102,00	7628	1
ALEXANDRE LASTRAJOLI	7	9	0	7	10161,00	2855,00	13016,00	1929,00	1129,00	1452	1
STEPHANE BREUX	23	29	0	7	8064,00	3545,00	11609,00	1082,00	278,07	351	1
MME SARAH ST LARY LEROY	9	13	0	7	5718,00	2946,00	8664,00	900,00	439,85	635	1
NICOLAS ASTIER	12	15	0	7	4302,00	2132,00	6434,00	833,00	286,80	358	1
DORDE PEROVIC	5	7	0	6	12050,00	8657,00	20707,00	2582,00	1721,43	2410	1
ANTHONY JARDEL	9	11	0	6	7350,00	2369,00	9719,00	1363,00	668,18	817	1
MME AXELLE NICCO	3	7	0	5	10493,00	3675,00	14168,00	1915,00	1499,00	3498	2
TITOUAN SPORLI	6	8	0	5	6775,00	0,00	6775,00	1186,00	846,88	1129	1
GABRIELE CONGIU	9	14	0	5	5302,00	2615,00	7917,00	881,00	378,71	589	2
SEBASTIEN JUST	10	13	0	5	4059,00	1038,00	5097,00	433,00	312,23	406	1
SEBASTIANO DERIU	7	7	0	4	5871,00	4081,00	9952,00	874,00	838,71	839	1
MME ESTHER RUTH WEISSMEIER	5	7	0	4	5341,00	466,00	5807,00	127,00	763,00	1068	1
ANTOINE SUBIAS	10	10	0	4	5300,00	750,00	6050,00	915,00	530,00	530	1
KOBE VANDERBEKE	10	15	0	4	4737,00	1319,00	6056,00	552,00	315,80	474	2
VICTOR DUPONT	4	5	0	4	3964,00	2673,00	6637,00	873,00	792,80	991	1
MAVIS MUNGROO	6	7	0	4	3041,00	1367,00	4408,00	571,00	434,43	507	1
ENZO CRUBLET	4	5	0	4	2775,00	1446,00	4221,00	447,00	555,00	694	1
AXIL GUILLOTEAU	6	7	0	3	4880,00	2830,00	7710,00	1010,00	697,14	813	1
DAMIEN MORIN	7	7	0	3	4050,00	2662,00	6712,00	791,00	578,57	579	1
RAMON AGUILERA PUENTE	6	11	0	3	4046,00	1347,00	5393,00	731,00	367,82	674	2
THOMAS JOURNIAC	5	5	0	3	3400,00	0,00	3400,00	564,00	680,00	680	1
DYLAN SALMON	7	8	0	3	2876,00	1534,00	4410,00	509,00	359,50	411	1
CHARLES CLAYEUX	4	4	0	3	2456,00	749,00	3205,00	455,00	614,00	614	1
MME CELESTINE BOUVIER	8	12	0	3	1928,00	867,00	2795,00	361,00	160,67	241	2
MME ELLA MUNTWYLER	5	7	0	3	1885,00	1173,00	3058,00	396,00	269,29	377	1
MME SHANA TOPIN	13	16	0	3	1440,00	342,00	1782,00	249,00	90,00	111	1
BAUYRZHAN MURZABAYEV	2	2	0	2	8894,00	1266,00	10160,00	346,00	4447,00	4447	1
SIMON PLANQUE	3	3	0	2	3998,00	2736,00	6734,00	892,00	1332,67	1333	1
TYSON VENTADOUR	2	4	0	2	3010,00	0,00	3010,00	541,00	752,50	1505	2
GIOVANNI BOINARD	5	5	0	2	3000,00	0,00	3000,00	508,00	600,00	600	1
MME LIYA GAUBERT	3	3	0	2	2800,00	0,00	2800,00	448,00	933,33	933	1
LOUIS ARMANCE	3	4	0	2	2225,00	600,00	2825,00	410,00	556,25	742	1
ALEXANDRE CHESNEAU	4	5	0	2	1974,00	1060,00	3034,00	421,00	394,80	494	1
MME NAHUELL MASSELIS	4	4	0	2	1967,00	885,00	2852,00	370,00	491,75	492	1
DANIELE FORTUNA	3	3	0	2	1450,00	772,00	2222,00	256,00	483,33	483	1
MICHAL ABIK	2	2	0	2	1437,00	646,00	2083,00	270,00	718,50	718	1
MIGUEL LOPEZ	2	2	0	2	1100,00	300,00	1400,00	91,00	550,00	550	1
BRUNO GABRIEL LOURENCO FERREIRA	3	3	0	2	988,00	444,00	1432,00	166,00	329,33	329	1
GABIN SEIGNEUL	2	2	0	2	925,00	356,00	1281,00	108,00	462,50	462	1
NATAN BOUVRY	4	4	0	2	824,00	370,00	1194,00	154,00	206,00	206	1
KOEN CLIJMANS	3	3	0	2	672,00	162,00	834,00	67,00	224,00	224	1
OISIN MURPHY	2	2	0	1	9520,00	0,00	9520,00	0,00	4760,00	4760	1
ROSSA RYAN	2	2	0	1	7545,00	0,00	7545,00	0,00	3772,50	3772	1
DAVID JAMES ALLAN	1	1	0	1	7320,00	0,00	7320,00	0,00	7320,00	7320	1
MME HOLLIE DOYLE	1	1	0	1	5030,00	0,00	5030,00	0,00	5030,00	5030	1
MME LEA BAILS	2	2	0	1	3098,00	2322,00	5420,00	460,00	1549,00	1549	1
STANISLAS BEROUD	2	2	0	1	2800,00	0,00	2800,00	504,00	1400,00	1400	1
TOM SERVIER	1	2	0	1	2660,00	0,00	2660,00	478,00	1330,00	2660	2
CLIFFORD LEE	1	1	0	1	2380,00	0,00	2380,00	0,00	2380,00	2380	1
MME ANGELE MENARD-LEDAUPHIN	1	1	0	1	2156,00	970,00	3126,00	265,00	2156,00	2156	1
MME ELISABETH BAZIRE	1	1	0	1	2025,00	0,00	2025,00	364,00	2025,00	2025	1
ADRIEN BLAIS	1	1	0	1	2000,00	0,00	2000,00	360,00	2000,00	2000	1
CHARLIE PRICE	1	1	0	1	2000,00	0,00	2000,00	360,00	2000,00	2000	1
JOEL PHELIPPE	1	1	0	1	1960,00	0,00	1960,00	352,00	1960,00	1960	1
ANDREA FELE	2	2	0	1	1800,00	810,00	2610,00	339,00	900,00	900	1
ANGELO ZULIANI	4	5	0	1	1650,00	0,00	1650,00	297,00	330,00	412	1
THEO LE GRAET	4	6	0	1	1638,00	1228,00	2866,00	372,00	273,00	410	2
BRYAN LABATE	2	2	0	1	1600,00	1200,00	2800,00	364,00	800,00	800	1
DAVID RODRIGUEZ	3	3	0	1	1425,00	1068,00	2493,00	211,00	475,00	475	1
AUGUSTIN GLEYROUX	1	1	0	1	1414,00	0,00	1414,00	226,00	1414,00	1414	1
GERARD GUILLERMO	2	2	0	1	1350,00	607,00	1957,00	254,00	675,00	675	1
MME GWLADYS FRADELIN	5	6	0	1	1233,00	924,00	2157,00	280,00	205,50	247	1
MME MIA BARS HUGONOT	2	2	0	1	1200,00	0,00	1200,00	192,00	600,00	600	1
MME ELSA ISOARDI	1	1	0	1	1200,00	900,00	2100,00	273,00	1200,00	1200	1
MARC LERNER	1	1	0	1	1096,00	822,00	1918,00	163,00	1096,00	1096	1
KENNY CARPENTIER	1	1	0	1	1000,00	0,00	1000,00	180,00	1000,00	1000	1
ADRIEN FOUCHET	2	2	0	1	950,00	0,00	950,00	171,00	475,00	475	1
MME ZINEB EL BRIOUIL	2	2	0	1	900,00	0,00	900,00	144,00	450,00	450	1
MME KERRIE RAYBOULD	2	2	0	1	800,00	0,00	800,00	128,00	400,00	400	1
MME SOPHIE CHUETTE	4	7	0	1	768,00	345,00	1113,00	144,00	109,71	192	2
ANTOINE MASSON	1	1	0	1	700,00	0,00	700,00	126,00	700,00	700	1
REMI CAMPOS	1	2	0	1	692,00	311,00	1003,00	130,00	346,00	692	2
MME MEGANE PESLIER	1	1	0	1	640,00	288,00	928,00	120,00	640,00	640	1
MME LUCIE FIALOVA	2	2	0	1	500,00	0,00	500,00	80,00	250,00	250	1
EDGAR LABAISSE	1	1	0	1	500,00	0,00	500,00	90,00	500,00	500	1
CLEMENT LEFEBVRE	1	1	0	1	500,00	0,00	500,00	90,00	500,00	500	1
MME MARGAUX ANTZ	4	4	0	1	407,00	183,00	590,00	50,00	101,75	102	1
RICARDO NICOLAS VALLE	1	1	0	1	407,00	183,00	590,00	76,00	407,00	407	1
LOUIS COLSON	4	4	0	1	400,00	0,00	400,00	64,00	100,00	100	1
CORENTIN GOUSSE	1	1	0	1	400,00	0,00	400,00	64,00	400,00	400	1
MME MORGANE TEVELS	1	1	0	1	244,00	109,00	353,00	30,00	244,00	244	1
BASTIEN MARCHAND	1	1	0	1	165,00	0,00	165,00	29,00	165,00	165	1
CHARLY BOUTTIER	6	7	0	0	0,00	0,00	0,00	0,00	0,00	0	1
MME VICTORIA ALONSO VIDAL DE LA PENA	4	4	0	0	0,00	0,00	0,00	0,00	0,00	0	1
MME CHLOE DAMOUR	3	3	0	0	0,00	0,00	0,00	0,00	0,00	0	1
EWAN OUDIN	3	3	0	0	0,00	0,00	0,00	0,00	0,00	0	1
MME ALEXIA PIHERY	3	3	0	0	0,00	0,00	0,00	0,00	0,00	0	1
JEAN-FREDERIC RAMBUR	3	3	0	0	0,00	0,00	0,00	0,00	0,00	0	1
PABLO WERDER	3	3	0	0	0,00	0,00	0,00	0,00	0,00	0	1
MILAN ZATLOUKAL	3	3	0	0	0,00	0,00	0,00	0,00	0,00	0	1
MME LUCIE CASTILLON	2	2	0	0	0,00	0,00	0,00	0,00	0,00	0	1
PATRICK JAMES COSGRAVE	2	2	0	0	0,00	0,00	0,00	0,00	0,00	0	1
JOSE MANUEL DA CUNHA LIMA	2	2	0	0	0,00	0,00	0,00	0,00	0,00	0	1
GAUVAIN FAIVRE-PICON	2	2	0	0	0,00	0,00	0,00	0,00	0,00	0	1
SAM JAMES	2	2	0	0	0,00	0,00	0,00	0,00	0,00	0	1
RYAN SAHAJASEIN	2	2	0	0	0,00	0,00	0,00	0,00	0,00	0	1
MIRKO SANNA	2	2	0	0	0,00	0,00	0,00	0,00	0,00	0	1
FLORENT BAYLE	1	1	0	0	0,00	0,00	0,00	0,00	0,00	0	1
MME LILOU BEDOUET	1	1	0	0	0,00	0,00	0,00	0,00	0,00	0	1
MME LARISSA BIESS	1	1	0	0	0,00	0,00	0,00	0,00	0,00	0	1
MME JURICO BOGAERTS	1	1	0	0	0,00	0,00	0,00	0,00	0,00	0	1
ENZO BONNET	1	1	0	0	0,00	0,00	0,00	0,00	0,00	0	1
MATTHIEU CHAILLOLEAU	1	1	0	0	0,00	0,00	0,00	0,00	0,00	0	1
ANTOINE COUPU	1	1	0	0	0,00	0,00	0,00	0,00	0,00	0	1
JULIAN DEROUET	1	1	0	0	0,00	0,00	0,00	0,00	0,00	0	1
ARTHUR DUVACHER	1	1	0	0	0,00	0,00	0,00	0,00	0,00	0	1
