Nom	Chevaux	Partants	Victoires	Places	Allocation tot.	Prime Prop.	Alloc. + Prime Prop.	Prim. Eleveur	Gain/Part.	Gain/Chev.	Course/Chev.
CRISTIAN DEMURO	346	511	67	309	1632399,00	833417,00	2465816,00	265853,00	3194,52	4718	1
MARVIN GRANDIN	332	556	58	323	1367579,00	692579,00	2060158,00	223433,00	2459,67	4119	2
ANTONIO ORANI	165	287	56	163	915334,00	462344,00	1377678,00	148134,00	3189,32	5547	2
MICKAEL BARZALONA	140	184	46	91	1161777,00	427592,00	1589369,00	138372,00	6314,01	8298	1
ALEXIS POUCHIN	176	241	37	130	942861,00	367913,00	1310774,00	124738,00	3912,29	5357	1
MAXIME GUYON	129	168	35	90	951929,00	476045,00	1427974,00	142553,00	5666,24	7379	1
CLEMENT LECOEUVRE	165	246	33	134	797668,00	366552,00	1164220,00	116657,00	3242,55	4834	1
CHRISTOPHE SOUMILLON	148	195	32	120	892078,00	352182,00	1244260,00	104881,00	4574,76	6028	1
TONY PICCONE	212	365	30	192	728653,00	311622,00	1040275,00	101650,00	1996,31	3437	2
HUGO BESNIER	120	221	30	146	605603,00	323908,00	929511,00	107253,00	2740,29	5047	2
AURELIEN LEMAITRE	222	335	29	170	723260,00	358187,00	1081447,00	111074,00	2158,99	3258	2
HUGO BOUTIN	147	280	27	150	539763,00	248653,00	788416,00	84113,00	1927,73	3672	2
AUGUSTIN MADAMET	205	304	25	186	657894,00	290186,00	948080,00	103513,00	2164,13	3209	1
MME DELPHINE SANTIAGO	137	203	25	84	332245,00	142724,00	474969,00	53727,00	1636,67	2425	1
ANTHONY CRASTUS	227	368	23	209	619494,00	295352,00	914846,00	105392,00	1683,41	2729	2
THEO BACHELOT	176	263	22	137	600050,00	287242,00	887292,00	97687,00	2281,56	3409	1
FABRICE VERON	178	261	21	118	378480,00	161185,00	539665,00	60242,00	1450,11	2126	1
HUGO LEBOUC	130	194	21	102	288127,00	127002,00	415129,00	51411,00	1485,19	2216	1
THOMAS TRULLIER	156	253	17	139	387789,00	184099,00	571888,00	64890,00	1532,76	2486	2
ANTOINE WERLE	87	144	17	81	286911,00	147603,00	434514,00	51996,00	1992,44	3298	2
ALEXANDRE GAVILAN	62	110	17	60	235453,00	83722,00	319175,00	40590,00	2140,48	3798	2
LEONARD PLOMMEE	59	91	17	37	210472,00	91069,00	301541,00	29970,00	2312,88	3567	2
EDDY HARDOUIN	148	257	15	121	387155,00	178906,00	566061,00	66928,00	1506,44	2616	2
STEPHANE PASQUIER	116	179	15	100	422652,00	190054,00	612706,00	56714,00	2361,18	3644	2
AXEL BARON	87	137	15	74	208914,00	92090,00	301004,00	37259,00	1524,92	2401	2
FABIEN LEFEBVRE	63	121	15	66	229514,00	94172,00	323686,00	37356,00	1896,81	3643	2
JEROME CLAUDIC	112	166	14	81	244867,00	112397,00	357264,00	43086,00	1475,10	2186	1
ENZO CORALLO	97	133	14	58	246037,00	127975,00	374012,00	41412,00	1849,90	2536	1
LUDOVIC BOISSEAU	143	224	13	115	327162,00	166727,00	493889,00	58498,00	1460,54	2288	2
GUILLAUME GUEDJ-GAY	67	99	13	59	223320,00	112465,00	335785,00	42141,00	2255,76	3333	1
DORIAN PROVOST	106	163	12	84	245105,00	110128,00	355233,00	41674,00	1503,71	2312	2
MME FRIDA VALLE SKAR	102	178	12	79	289138,00	143840,00	432978,00	55013,00	1624,37	2835	2
CHRISTOPHER GROSBOIS	97	138	12	75	163765,00	67726,00	231491,00	27439,00	1186,70	1688	1
MME AMBRE MOLINS	102	167	12	74	213299,00	94105,00	307404,00	33870,00	1277,24	2091	2
LEO ROUSSEL	79	129	12	64	188068,00	70340,00	258408,00	30664,00	1457,89	2381	2
