Nom	Chevaux	Partants	Victoires	Places	Allocation tot.	Prime Prop.	Alloc. + Prime Prop.	Prim. Eleveur	Gain/Part.	Gain/Chev.	Course/Chev.
CRISTIAN DEMURO	510	850	119	501	3028727,00	1493306,00	4522033,00	475779,00	3563,21	5939	2
MICKAEL BARZALONA	250	398	96	213	3434502,00	1098916,00	4533418,00	335653,00	8629,40	13738	2
MARVIN GRANDIN	467	836	92	480	2074055,00	1026689,00	3100744,00	332724,00	2480,93	4441	2
ANTONIO ORANI	218	424	80	250	1286265,00	657922,00	1944187,00	210843,00	3033,64	5900	2
MAXIME GUYON	243	399	74	223	2423437,00	1098841,00	3522278,00	305875,00	6073,78	9973	2
ALEXIS POUCHIN	279	442	60	251	1741842,00	798160,00	2540002,00	248303,00	3940,82	6243	2
TONY PICCONE	292	559	51	297	1535605,00	615000,00	2150605,00	215999,00	2747,06	5259	2
CHRISTOPHE SOUMILLON	201	293	48	179	2070528,00	608758,00	2679286,00	198216,00	7066,65	10301	1
HUGO BESNIER	144	301	47	189	854623,00	470183,00	1324806,00	150523,00	2839,28	5935	2
CLEMENT LECOEUVRE	237	386	44	211	1147033,00	552642,00	1699675,00	170323,00	2971,59	4840	2
AURELIEN LEMAITRE	305	520	43	262	1156152,00	532001,00	1688153,00	167761,00	2223,37	3791	2
AUGUSTIN MADAMET	301	501	41	298	1113234,00	524048,00	1637282,00	177184,00	2222,02	3698	2
ANTHONY CRASTUS	301	538	36	302	967875,00	494134,00	1462009,00	170400,00	1799,02	3216	2
HUGO LEBOUC	194	321	34	173	479053,00	206370,00	685423,00	81765,00	1492,38	2469	2
MME DELPHINE SANTIAGO	186	327	34	140	493381,00	204381,00	697762,00	76702,00	1508,81	2653	2
THEO BACHELOT	249	411	31	219	902589,00	445124,00	1347713,00	149984,00	2196,08	3625	2
THOMAS TRULLIER	221	417	30	228	666327,00	314722,00	981049,00	110680,00	1597,91	3015	2
GUILLAUME GUEDJ-GAY	113	186	30	112	691949,00	280006,00	971955,00	107395,00	3720,16	6123	2
HUGO BOUTIN	184	378	29	213	665306,00	309235,00	974541,00	103108,00	1760,07	3616	2
FABRICE VERON	255	388	29	191	601132,00	269135,00	870267,00	99183,00	1549,31	2357	2
MME AMBRE MOLINS	151	283	29	124	490155,00	234024,00	724179,00	84078,00	1732,00	3246	2
EDDY HARDOUIN	201	397	27	205	691241,00	317259,00	1008500,00	115585,00	1741,16	3439	2
ANTOINE WERLE	126	236	27	139	534015,00	255303,00	789318,00	100582,00	2262,78	4238	2
ALEXANDRE GAVILAN	97	185	26	106	418346,00	141718,00	560064,00	72359,00	2261,33	4313	2
DORIAN PROVOST	163	280	25	149	498187,00	241963,00	740150,00	84571,00	1779,24	3056	2
