Nom	Chevaux	Partants	Victoires	Places	Allocation tot.	Prime Prop.	Alloc. + Prime Prop.	Prim. Eleveur	Gain/Part.	Gain/Chev.	Course/Chev.
FH. GRAFFARD (S)	116	218	63	124	1964453,00	524229,00	2488682,00	151353,00	9011,25	16935	2
A. FABRE (S)	97	175	25	114	1121498,00	322428,00	1443926,00	99303,00	6408,56	11562	2
C. ESCUDER	122	434	47	250	854406,00	436838,00	1291244,00	136144,00	1968,68	7003	4
P. COTTIER	53	180	26	116	625385,00	344340,00	969725,00	113318,00	3474,36	11800	3
J. REYNIER (S)	60	158	27	93	604517,00	258761,00	863278,00	82190,00	3826,06	10075	3
Y. BARBEROT (S)	50	152	20	92	565297,00	334836,00	900133,00	85064,00	3719,06	11306	3
HA. PANTALL (S)	99	268	26	152	548150,00	202176,00	750326,00	62627,00	2045,34	5537	3
C&Y. LERNER (S)	46	110	11	66	546804,00	272086,00	818890,00	82766,00	4970,95	11887	2
JC. ROUGET (S)	42	101	20	66	506303,00	281217,00	787520,00	82682,00	5012,90	12055	2
C. FERLAND (S)	43	96	16	51	496691,00	264538,00	761229,00	69531,00	5173,86	11551	2
M. BOUTIN (S)	45	268	22	143	440605,00	211324,00	651929,00	74708,00	1644,05	9791	6
AP. O'BRIEN	7	7	2	2	398045,00	62854,00	460899,00	32055,00	56863,57	56864	1
N. PERRET (S)	56	190	16	123	386238,00	189196,00	575434,00	64067,00	2032,83	6897	3
C. BOUTIN (S)	26	161	18	97	380798,00	175364,00	556162,00	65543,00	2365,20	14646	6
MME M. SCANDELLA-LACAILLE	56	213	24	132	369790,00	198965,00	568755,00	66532,00	1736,10	6603	4
S. WATTEL (S)	49	105	12	53	341049,00	193820,00	534869,00	63025,00	3248,09	6960	2
M. BARATTI (S)	46	101	13	63	334351,00	186244,00	520595,00	53877,00	3310,41	7268	2
X. THOMAS-DEMEAULTE (S)	35	51	10	30	313782,00	79472,00	393254,00	34567,00	6152,59	8965	1
M. PITART	57	151	17	83	313046,00	176951,00	489997,00	58282,00	2073,15	5492	3
M. DELCHER SANCHEZ	29	72	11	41	307816,00	111517,00	419333,00	31707,00	4275,22	10614	2
G. MOSSE (S)	35	103	11	56	305048,00	134824,00	439872,00	46222,00	2961,63	8716	3
A. FOUASSIER	67	178	22	99	299543,00	132113,00	431656,00	53864,00	1682,83	4471	3
R. FRADET (S)	23	105	15	59	293319,00	162451,00	455770,00	55174,00	2793,51	12753	5
P&J. BRANDT (S)	24	60	12	34	289742,00	146301,00	436043,00	49861,00	4829,03	12073	3
HF. DEVIN (S)	31	65	10	48	245768,00	121827,00	367595,00	32069,00	3781,05	7928	2
N. CAULLERY	45	136	11	65	241659,00	93245,00	334904,00	35987,00	1776,90	5370	3
MME S. GAVILAN	45	141	13	72	229604,00	123134,00	352738,00	42089,00	1628,40	5102	3
CHR. HEAD (S)	25	51	6	33	224312,00	94054,00	318366,00	20465,00	4398,27	8972	2
M. DELZANGLES	32	74	8	42	222779,00	150846,00	373625,00	45627,00	3010,53	6962	2
FR. MONFORT (S)	50	149	12	88	216716,00	102904,00	319620,00	33876,00	1454,47	4334	3
ED. MONFORT (S)	41	109	12	67	215813,00	107494,00	323307,00	32946,00	1979,94	5264	3
P. GROUALLE (S)	22	57	6	40	213841,00	125184,00	339025,00	37594,00	3751,60	9720	3
D. ARTU (S)	23	108	12	53	212243,00	106633,00	318876,00	39717,00	1965,21	9228	5
G. BIETOLINI	39	87	11	38	206166,00	117541,00	323707,00	34202,00	2369,72	5286	2
F. FORESI	38	168	9	81	200200,00	89153,00	289353,00	33077,00	1191,67	5268	4
J. PARIZE	30	180	9	81	196149,00	76109,00	272258,00	29502,00	1089,72	6538	6
F. CHAPPET (S)	34	87	6	48	191886,00	108630,00	300516,00	34025,00	2205,59	5644	3
J. ANDREU (S)	23	93	14	55	191246,00	113038,00	304284,00	35685,00	2056,41	8315	4
CLEMENT & HERMANS (S)	30	58	9	30	181869,00	107412,00	289281,00	29756,00	3135,67	6062	2
P. DECOUZ (S)	30	70	7	49	181220,00	86971,00	268191,00	30361,00	2588,86	6041	2
MME Y. VOLLMER	41	143	10	66	180409,00	81371,00	261780,00	29772,00	1261,60	4400	3
M. BRASME (S)	43	127	10	55	174597,00	86511,00	261108,00	30875,00	1374,78	4060	3
D. WATRIGANT (S)	25	54	8	30	173870,00	66618,00	240488,00	26281,00	3219,81	6955	2
A. BOTTI (S)	33	98	6	58	172116,00	76679,00	248795,00	24490,00	1756,29	5216	3
RC. MONTENEGRO	40	136	9	71	169932,00	45453,00	215385,00	18231,00	1249,50	4248	3
A. MURPHY (S)	44	99	9	55	169496,00	57532,00	227028,00	14990,00	1712,08	3852	2
