Cheval	Âge	Sexe	Race	Courses	Victoires	Places	Allocation tot.	Prime Prop.	Alloc. + Prime Prop.	Gain moyen	Valeur
SAINT MARTIN	3	M	PUR SANG	5	3	1	54556,00	40916,00	95472,00	10911,20	460
LANZELOT GOLD	5	M	PUR SANG	4	1	2	53860,00	24236,00	78096,00	13465,00	470
GILDED PRIZE	3	F	PUR SANG	3	2	1	53565,00	0,00	53565,00	17855,00	505
FELIX AUX ORMES	4	M	PUR SANG	5	1	3	51920,00	23360,00	75280,00	10384,00	420
KIMI REY	3	F	PUR SANG	3	1	2	50770,00	0,00	50770,00	16923,33	460
EDAJA	3	F	PUR SANG	3	3	0	50300,00	37724,00	88024,00	16766,67	440
HELLO JO	3	M	PUR SANG	4	2	2	49514,00	37133,00	86647,00	12378,50	480
CAMPONANES	3	M	PUR SANG	7	5	2	49420,00	0,00	49420,00	7060,00	380
PEARLED MAJESTY	3	M	PUR SANG	2	2	0	49400,00	0,00	49400,00	24700,00	500
KAILANI	3	M	PUR SANG	6	2	2	48470,00	36352,00	84822,00	8078,33	470
REGALIEN	7	M	PUR SANG	11	3	5	47769,00	21493,00	69262,00	4342,64	390
CENTRAL PARK WEST	8	H	PUR SANG	8	2	3	47631,00	21431,00	69062,00	5953,88	410
QUEST FOR MAGIC	4	F	PUR SANG	2	2	0	47400,00	21329,00	68729,00	23700,00	450
BIG LOG	6	H	PUR SANG	5	1	3	46968,00	21134,00	68102,00	9393,60	390
SEGALL	3	M	PUR SANG	3	1	1	46660,00	34995,00	81655,00	15553,33	480
TORNADO ALLEY	3	M	PUR SANG	4	2	2	46610,00	34957,00	81567,00	11652,50	420
BLACK SAXON	5	H	PUR SANG	4	2	2	46418,00	20886,00	67304,00	11604,50	395
NARISSA	3	F	PUR SANG	2	0	2	46045,00	17261,00	63306,00	23022,50	485
ALAM	3	M	PUR SANG	3	1	2	45988,00	34488,00	80476,00	15329,33	495
CREW DRAGON	9	H	PUR SANG	10	2	5	45355,00	20407,00	65762,00	4535,50	395
ZAYIDA	3	F	PUR SANG	3	2	1	45270,00	33952,00	79222,00	15090,00	470
CLAVUS	5	M	PUR SANG	4	2	2	45029,00	20261,00	65290,00	11257,25	465
CHARLY	3	H	PUR SANG	3	2	1	44842,00	33631,00	78473,00	14947,33	420
HALF HALF	6	H	PUR SANG	5	1	3	44648,00	20089,00	64737,00	8929,60	410
TALENTUOSO	5	H	PUR SANG	5	1	3	44396,00	0,00	44396,00	8879,20	400
LAVENDIN	5	H	PUR SANG	6	3	3	43834,00	19723,00	63557,00	7305,67	355
TIPINSO	4	M	PUR SANG	4	1	3	43740,00	19683,00	63423,00	10935,00	480
BAYAMOON	5	M	PUR SANG	4	1	1	43690,00	19660,00	63350,00	10922,50	420
VATICANA	3	F	PUR SANG	5	2	2	43306,00	32478,00	75784,00	8661,20	470
SCARFACE	8	H	PUR SANG	9	1	6	43229,00	19451,00	62680,00	4803,22	390
RUMORISTE	3	M	PUR SANG	3	2	1	42364,00	0,00	42364,00	14121,33	460
REMBRAND TO GO	4	M	PUR SANG	5	1	4	42295,00	19030,00	61325,00	8459,00	395
GRAND BALCON	7	H	PUR SANG	5	1	2	42248,00	19009,00	61257,00	8449,60	375
CLICCLIC PANPANPAN	6	F	PUR SANG	9	3	2	41957,00	18878,00	60835,00	4661,89	320
ACOTANGO	5	H	PUR SANG	10	3	6	41706,00	18765,00	60471,00	4170,60	370
FIRE REBEL	5	H	PUR SANG	7	2	3	41576,00	18707,00	60283,00	5939,43	425
ANAKOVA	4	F	PUR SANG	2	1	1	41294,00	18581,00	59875,00	20647,00	445
CASAPUEBLO	5	H	PUR SANG	2	2	0	41200,00	18540,00	59740,00	20600,00	505
BLUFF	6	H	PUR SANG	12	4	5	40214,00	18093,00	58307,00	3351,17	310
FREJA	7	F	PUR SANG	6	2	3	40110,00	18048,00	58158,00	6685,00	375
HAUTE GAMME	5	H	PUR SANG	10	2	7	39833,00	17922,00	57755,00	3983,30	275
MARLOWE	6	H	PUR SANG	6	1	4	39205,00	17640,00	56845,00	6534,17	355
AIDAN'S PHONE	4	H	PUR SANG	5	1	3	39122,00	17604,00	56726,00	7824,40	450
MODELE ABSOLU	3	M	PUR SANG	4	4	0	38900,00	29174,00	68074,00	9725,00	380
STAR OF ARTABAN	4	H	PUR SANG	5	3	0	38900,00	0,00	38900,00	7780,00	405
SAINT SAENS	3	M	PUR SANG	3	1	2	38352,00	28764,00	67116,00	12784,00	390
VALENTINA BELLA	2	F	PUR SANG	2	2	0	37950,00	28462,00	66412,00	18975,00	
DOLMALAN	3	M	PUR SANG	2	2	0	37950,00	28462,00	66412,00	18975,00	475
SYNARAN	3	H	PUR SANG	2	2	0	37950,00	0,00	37950,00	18975,00	455
BARBATE	6	H	PUR SANG	2	2	0	37800,00	17009,00	54809,00	18900,00	425
IZASTEP	6	M	PUR SANG	5	3	1	37722,00	16973,00	54695,00	7544,40	385
AUTEUR	5	M	PUR SANG	6	2	4	37559,00	16901,00	54460,00	6259,83	370
BEHRAYNA	3	F	PUR SANG	2	2	0	37500,00	28124,00	65624,00	18750,00	
EASTMAN	4	M	PUR SANG	9	3	6	37134,00	16707,00	53841,00	4126,00	330
PUERTO RICO	3	M	PUR SANG	1	0	1	37115,00	0,00	37115,00	37115,00	
HATANKA FAL	3	F	PUR SANG	4	2	2	36825,00	27618,00	64443,00	9206,25	440
TORTISAMBERT	5	H	PUR SANG	4	1	2	36776,00	16547,00	53323,00	9194,00	435
BEST SECRET	4	M	PUR SANG	2	1	0	36600,00	16470,00	53070,00	18300,00	515
DREAMLINER	4	M	PUR SANG	1	1	0	36600,00	16470,00	53070,00	36600,00	505
DOSTOIEVSKY	3	M	PUR SANG	2	1	0	36600,00	27450,00	64050,00	18300,00	480
RAYEVKA	4	F	PUR SANG	1	1	0	36600,00	0,00	36600,00	36600,00	490
SUNLY	4	F	PUR SANG	1	1	0	36600,00	0,00	36600,00	36600,00	500
EVOLUTIONIST	3	F	PUR SANG	1	1	0	36600,00	0,00	36600,00	36600,00	
HAWK MOUNTAIN	3	M	PUR SANG	1	1	0	36600,00	0,00	36600,00	36600,00	
PINK PANTHERA	3	F	PUR SANG	4	2	2	36511,00	27382,00	63893,00	9127,75	445
FOU FURIEUX	5	M	PUR SANG	5	1	2	36394,00	16375,00	52769,00	7278,80	400
HUMAN EVOLUTION	5	M	PUR SANG	5	2	3	36247,00	0,00	36247,00	7249,40	370
MISTER CHANG	4	H	PUR SANG	4	1	3	35779,00	16098,00	51877,00	8944,75	385
FERDINAND PREMIER	4	H	PUR SANG	5	2	2	35370,00	15916,00	51286,00	7074,00	385
ALEXANDER MAXIMUS	3	M	PUR SANG	5	3	2	34942,00	26205,00	61147,00	6988,40	380
ZELORO	5	H	PUR SANG	3	1	2	34612,00	15574,00	50186,00	11537,33	425
PUMALIN PARK	6	H	PUR SANG	5	1	2	34612,00	15574,00	50186,00	6922,40	405
WARRIORS WHISPER	3	F	PUR SANG	3	1	2	34535,00	0,00	34535,00	11511,67	465
HAYEJOHN	6	H	PUR SANG	6	2	4	34472,00	15509,00	49981,00	5745,33	305
JABRACADABRA	3	H	PUR SANG	3	3	0	34400,00	25800,00	60200,00	11466,67	445
AVENTURE	5	F	PUR SANG	1	0	1	34290,00	6858,00	41148,00	34290,00	530
PURPLE LION	4	H	PUR SANG	2	1	1	34090,00	15340,00	49430,00	17045,00	430
COLIN THE BRAVE	4	H	PUR SANG	3	1	2	34060,00	0,00	34060,00	11353,33	455
DAMABIAH ANGEL	3	F	PUR SANG	7	2	5	33590,00	25188,00	58778,00	4798,57	340
KOURPLUVIX	4	H	PUR SANG	5	1	3	33523,00	15084,00	48607,00	6704,60	440
KENSILVER	4	M	PUR SANG	5	2	3	33338,00	14999,00	48337,00	6667,60	320
MUST BAY	3	M	PUR SANG	3	1	2	33316,00	24986,00	58302,00	11105,33	425
AFJAN	3	M	PUR SANG	3	0	3	33165,00	24873,00	58038,00	11055,00	475
GRECIAN COMET	4	F	PUR SANG	4	1	2	32933,00	14818,00	47751,00	8233,25	435
FAMOSO	6	H	PUR SANG	7	2	4	32909,00	14805,00	47714,00	4701,29	355
APOLIDE	3	M	PUR SANG	4	2	1	32864,00	24648,00	57512,00	8216,00	420
OUT OF THE BLUE	4	H	PUR SANG	7	3	1	32628,00	14682,00	47310,00	4661,14	335
MODERN LIGHT	5	F	PUR SANG	4	1	1	32576,00	14658,00	47234,00	8144,00	360
ARKANSAS	3	F	PUR SANG	2	1	1	32470,00	24352,00	56822,00	16235,00	450
WAPI	5	H	PUR SANG	3	1	2	32408,00	14582,00	46990,00	10802,67	390
IVORY SPRING	7	H	PUR SANG	4	3	1	32300,00	14535,00	46835,00	8075,00	410
KARLA JET	4	F	PUR SANG	3	1	1	32035,00	14415,00	46450,00	10678,33	445
LORD CLOVER	3	M	PUR SANG	3	1	2	31854,00	0,00	31854,00	10618,00	495
CHESS	5	M	PUR SANG	4	1	3	31626,00	14228,00	45854,00	7906,50	400
ORLHENA	5	F	PUR SANG	7	2	3	31523,00	14183,00	45706,00	4503,29	310
MEMPHIS TENNESSEE	5	M	PUR SANG	6	1	2	31087,00	13987,00	45074,00	5181,17	370
MAIAKOVSKA	2	F	PUR SANG	2	1	1	31085,00	23313,00	54398,00	15542,50	
SENATRICE	3	F	PUR SANG	8	2	6	31082,00	23309,00	54391,00	3885,25	390
MODERN SPIRIT	4	H	PUR SANG	7	2	4	31081,00	13983,00	45064,00	4440,14	325
TONNANT	3	M	PUR SANG	2	1	1	30880,00	23160,00	54040,00	15440,00	435
AL MAX	4	H	PUR SANG	4	1	3	30834,00	13873,00	44707,00	7708,50	400
SASKATOON	5	H	PUR SANG	7	2	4	30816,00	13866,00	44682,00	4402,29	380
GILDED DRAGON	5	H	PUR SANG	5	1	2	30794,00	13856,00	44650,00	6158,80	410
DOUBLE MAJOR	6	H	PUR SANG	3	0	3	30772,00	13847,00	44619,00	10257,33	505
BELIEVER	5	M	PUR SANG	2	1	1	30582,00	13761,00	44343,00	15291,00	455
AMOUAGE	5	H	PUR SANG	7	2	3	30531,00	14164,00	44695,00	4361,57	305
ITAEWON	6	M	PUR SANG	8	2	4	30444,00	13697,00	44141,00	3805,50	300
RECOLETTY	6	F	PUR SANG	6	2	3	30430,00	13691,00	44121,00	5071,67	325
JAGUARE PRECIEUSE	7	F	PUR SANG	7	3	0	30300,00	13634,00	43934,00	4328,57	340
GO LOVE	7	H	PUR SANG	6	2	3	30179,00	13579,00	43758,00	5029,83	355
ALWAYS WELCOME	9	H	PUR SANG	4	2	1	30104,00	13546,00	43650,00	7526,00	425
SHARP RISE	6	H	PUR SANG	5	3	2	29979,00	0,00	29979,00	5995,80	395
SAY SQUIRREL	2	F	PUR SANG	3	1	2	29886,00	22414,00	52300,00	9962,00	
ALHAEBA	3	M	PUR SANG	4	2	1	29844,00	0,00	29844,00	7461,00	425
BEJAR	5	F	PUR SANG	8	2	5	29764,00	13391,00	43155,00	3720,50	290
SAHIMAA	3	F	PUR SANG	5	2	3	29662,00	22246,00	51908,00	5932,40	410
ROZARION	3	M	PUR SANG	5	0	5	29618,00	22212,00	51830,00	5923,60	365
PROFUMO DI IENA	4	F	PUR SANG	5	1	3	29560,00	13299,00	42859,00	5912,00	415
RIASSOU	5	F	PUR SANG	6	2	3	29550,00	13295,00	42845,00	4925,00	410
DRUMARD	5	M	PUR SANG	3	1	2	29536,00	13290,00	42826,00	9845,33	450
NAOMIS	3	F	PUR SANG	3	1	2	29370,00	22027,00	51397,00	9790,00	420
LINFASOMMER	6	F	PUR SANG	7	1	4	29052,00	13071,00	42123,00	4150,29	355
AMUSANTE	3	F	PUR SANG	7	1	6	28992,00	0,00	28992,00	4141,71	355
BAKLAWA	3	F	PUR SANG	4	1	1	28986,00	21739,00	50725,00	7246,50	450
SUMMER FLIRT	5	F	PUR SANG	7	3	2	28735,00	12929,00	41664,00	4105,00	265
LE MATELOT	4	H	PUR SANG	3	1	2	28576,00	12857,00	41433,00	9525,33	430
MARQUISAT	6	H	PUR SANG	2	1	1	28560,00	0,00	28560,00	14280,00	500
GUSTO	3	M	PUR SANG	3	1	2	28360,00	21269,00	49629,00	9453,33	475
MISTY CITY	3	F	PUR SANG	14	1	10	28355,00	21263,00	49618,00	2025,36	310
ERDENALI	3	H	PUR SANG	2	2	0	28350,00	0,00	28350,00	14175,00	
AERONEF	3	M	PUR SANG	2	2	0	28350,00	0,00	28350,00	14175,00	415
GRAND MACHO	5	H	PUR SANG	12	2	7	28184,00	12679,00	40863,00	2348,67	270
FIRST LOOK	5	H	PUR SANG	3	0	3	27890,00	10405,00	38295,00	9296,67	515
TEN HORNS	5	M	PUR SANG	5	0	4	27706,00	12466,00	40172,00	5541,20	420
BARGING THRU	7	H	PUR SANG	6	2	2	27656,00	0,00	27656,00	4609,33	360
SWEET FOR ME	3	F	PUR SANG	5	2	3	27486,00	20613,00	48099,00	5497,20	390
SOIF DE VIVRE	4	H	PUR SANG	5	2	3	27364,00	12312,00	39676,00	5472,80	290
DALAKIR	4	H	PUR SANG	3	1	1	27340,00	12302,00	39642,00	9113,33	400
GOLD PLAYER	7	H	PUR SANG	5	1	2	27110,00	12198,00	39308,00	5422,00	370
LETHAL BEAUTY	3	F	PUR SANG	4	0	3	27049,00	20286,00	47335,00	6762,25	460
VICTORIA SECRET	3	F	PUR SANG	9	2	5	27032,00	20272,00	47304,00	3003,56	300
MANEKI	4	M	PUR SANG	3	1	1	27000,00	12150,00	39150,00	9000,00	445
HERCULE STAR	3	M	PUR SANG	6	2	3	26970,00	0,00	26970,00	4495,00	365
WIND OF CHANGE	8	H	PUR SANG	8	1	6	26948,00	12123,00	39071,00	3368,50	320
YOKEN	5	H	PUR SANG	4	2	1	26936,00	12120,00	39056,00	6734,00	385
SAGANO	3	H	PUR SANG	3	2	1	26880,00	20160,00	47040,00	8960,00	430
JOEY UP	8	H	PUR SANG	8	2	5	26844,00	12076,00	38920,00	3355,50	280
DIVIDE AND RULE	5	F	PUR SANG	3	1	1	26722,00	12024,00	38746,00	8907,33	415
GUILLERETTE	4	F	PUR SANG	6	1	1	26722,00	12024,00	38746,00	4453,67	350
TASHANKA	5	M	PUR SANG	6	2	3	26710,00	12018,00	38728,00	4451,67	410
SPANISH LIGHT	6	H	PUR SANG	8	1	5	26597,00	11966,00	38563,00	3324,63	380
WITCHWAY	2	M	PUR SANG	3	2	1	26490,00	19867,00	46357,00	8830,00	
WEDGEWOOD PEARL	5	F	PUR SANG	2	1	1	26486,00	11918,00	38404,00	13243,00	375
TREVOR SENORA	6	H	PUR SANG	4	3	1	26422,00	11888,00	38310,00	6605,50	260
ANOLANTE	3	H	PUR SANG	5	2	1	26410,00	19807,00	46217,00	5282,00	330
THE SHADOW	4	F	PUR SANG	4	1	3	26359,00	11858,00	38217,00	6589,75	360
MAXIMILIEN	3	M	PUR SANG	4	2	2	26282,00	19710,00	45992,00	6570,50	420
MICOLEO	7	H	PUR SANG	8	2	3	26241,00	11807,00	38048,00	3280,13	240
LEFFARD	4	M	PUR SANG	1	0	1	26180,00	11781,00	37961,00	26180,00	530
SEAGULLS ELEVEN	4	H	PUR SANG	1	0	1	26180,00	0,00	26180,00	26180,00	
GOLDENSIM	6	H	PUR SANG	11	1	8	26104,00	11742,00	37846,00	2373,09	320
HARMONY	3	F	PUR SANG	9	7	2	25840,00	19380,00	45220,00	2871,11	670
BEST SHALAA	5	F	PUR SANG	6	2	3	25824,00	11619,00	37443,00	4304,00	290
ZAKOSHA	4	F	PUR SANG	6	2	2	25774,00	11597,00	37371,00	4295,67	385
ASLAN SENORA	7	H	PUR SANG	6	2	4	25714,00	11568,00	37282,00	4285,67	305
IRBIS	7	H	PUR SANG	6	2	3	25707,00	11566,00	37273,00	4284,50	315
CHAUMIERE DE PRE	4	H	PUR SANG	3	2	1	25570,00	11505,00	37075,00	8523,33	435
SIR TOMMY CEN	4	M	PUR SANG	4	2	2	25552,00	11497,00	37049,00	6388,00	450
LOUIS OTHON	4	H	PUR SANG	6	2	3	25290,00	11379,00	36669,00	4215,00	345
ANASHKAYA	3	F	PUR SANG	5	1	2	25209,00	0,00	25209,00	5041,80	420
CANALEJAS	3	M	PUR SANG	2	1	0	25150,00	18862,00	44012,00	12575,00	460
GAGA GIRL	4	F	PUR SANG	2	1	1	25140,00	11313,00	36453,00	12570,00	440
RUE DE L'ODEON	4	F	PUR SANG	10	2	3	25033,00	11264,00	36297,00	2503,30	285
DUBAIEARTH	3	F	PUR SANG	4	2	2	24924,00	0,00	24924,00	6231,00	385
HAMILTON	6	H	PUR SANG	6	2	3	24912,00	11208,00	36120,00	4152,00	335
MARINALEDA	4	F	PUR SANG	3	0	3	24816,00	11164,00	35980,00	8272,00	365
SISKA	3	F	PUR SANG	7	0	6	24768,00	18574,00	43342,00	3538,29	320
GRECIAN STAR	6	M	PUR SANG	7	3	1	24738,00	11130,00	35868,00	3534,00	400
BASQUIAT	3	H	PUR SANG	4	2	2	24576,00	18432,00	43008,00	6144,00	380
COSMIC BOY	3	M	PUR SANG	4	2	1	24540,00	18404,00	42944,00	6135,00	425
MR LOPE CEN	3	M	PUR SANG	3	1	2	24534,00	18400,00	42934,00	8178,00	475
ANTINEA	8	F	PUR SANG	8	2	4	24504,00	11025,00	35529,00	3063,00	260
ANTICO	5	H	PUR SANG	9	2	3	24407,00	10981,00	35388,00	2711,89	265
WE'LL DEFEND	4	F	PUR SANG	2	1	1	24260,00	10916,00	35176,00	12130,00	460
HIGHARA	4	F	PUR SANG	3	2	1	24135,00	10860,00	34995,00	8045,00	375
LESSLEPASSER	7	H	PUR SANG	4	1	2	23947,00	10775,00	34722,00	5986,75	450
DUBALAA	4	H	PUR SANG	4	0	3	23925,00	10763,00	34688,00	5981,25	375
BOX OFFICER	3	H	PUR SANG	4	1	3	23909,00	17930,00	41839,00	5977,25	375
SOFT DREAM	3	M	PUR SANG	3	2	1	23860,00	17895,00	41755,00	7953,33	360
ZARRAF	4	M	PUR SANG	1	1	0	23800,00	10710,00	34510,00	23800,00	475
BON VIVEUR	3	M	PUR SANG	5	1	4	23762,00	17821,00	41583,00	4752,40	400
MARTAGNY	3	H	PUR SANG	3	1	2	23760,00	17819,00	41579,00	7920,00	430
MURANO	6	H	PUR SANG	7	2	5	23668,00	10649,00	34317,00	3381,14	245
LOHENGREEN	3	M	PUR SANG	5	1	4	23660,00	17743,00	41403,00	4732,00	390
ASTREDARGENT	3	M	PUR SANG	6	2	4	23600,00	17700,00	41300,00	3933,33	330
CANDYMAN	5	H	PUR SANG	5	2	3	23597,00	10616,00	34213,00	4719,40	345
GOLDEN BLUSH	4	F	PUR SANG	8	2	5	23589,00	10614,00	34203,00	2948,63	330
BELLANO	5	M	PUR SANG	4	1	2	23543,00	10593,00	34136,00	5885,75	455
TIZIAN	4	H	PUR SANG	5	1	4	23534,00	10587,00	34121,00	4706,80	325
PADDINGTON	3	M	PUR SANG	6	2	2	23531,00	17647,00	41178,00	3921,83	325
MR FLEURANT	5	H	PUR SANG	5	2	3	23518,00	10582,00	34100,00	4703,60	405
ZACAPO	7	H	PUR SANG	9	1	6	23492,00	0,00	23492,00	2610,22	350
USER KINDLY	7	M	PUR SANG	6	3	2	23440,00	0,00	23440,00	3906,67	310
FAOLIO	3	H	PUR SANG	5	1	4	23387,00	17539,00	40926,00	4677,40	365
ZOLIA	4	F	PUR SANG	10	2	7	23382,00	10516,00	33898,00	2338,20	330
VINGT SEPT	4	H	PUR SANG	5	2	3	23333,00	10497,00	33830,00	4666,60	320
PAMELA BOUM	5	F	PUR SANG	7	1	6	23251,00	10460,00	33711,00	3321,57	275
MONTGAUDRY	6	H	PUR SANG	5	1	3	23200,00	10438,00	33638,00	4640,00	355
BEETLEJUICE	4	H	PUR SANG	7	1	4	23164,00	10422,00	33586,00	3309,14	340
STARLIGHT	5	F	PUR SANG	5	2	3	23159,00	10420,00	33579,00	4631,80	245
GRECIAN BONANZA	6	M	PUR SANG	6	2	3	23114,00	10400,00	33514,00	3852,33	390
FALOU CHOPE	3	F	PUR SANG	3	2	1	23060,00	17294,00	40354,00	7686,67	345
ALREYYAH	4	F	PUR SANG	3	1	2	23060,00	0,00	23060,00	7686,67	450
FEARLESS CHEETAH	6	F	PUR SANG	4	1	2	23057,00	10373,00	33430,00	5764,25	375
DAPANGO	7	H	PUR SANG	5	2	3	22890,00	0,00	22890,00	4578,00	380
BIN ZARAK	4	M	PUR SANG	5	1	3	22890,00	10300,00	33190,00	4578,00	395
DRAZINDA	2	F	PUR SANG	1	1	0	22850,00	17137,00	39987,00	22850,00	
LORD ASRIEL D ALME	5	H	PUR SANG	7	2	3	22833,00	10272,00	33105,00	3261,86	245
ABIAT	5	F	PUR SANG	5	1	2	22785,00	10251,00	33036,00	4557,00	380
DSCHINGIS HEIGHTS	6	H	PUR SANG	9	2	5	22784,00	10249,00	33033,00	2531,56	285
CLEOD'OR	9	H	PUR SANG	7	1	4	22660,00	10194,00	32854,00	3237,14	375
LOLLIPOP DES PINS	5	F	PUR SANG	6	2	3	22594,00	10165,00	32759,00	3765,67	300
ECIJA	3	F	PUR SANG	2	1	1	22410,00	16807,00	39217,00	11205,00	435
VARANDIR	3	M	PUR SANG	2	2	0	22400,00	16799,00	39199,00	11200,00	
AL RATEEL	3	F	PUR SANG	3	2	0	22400,00	0,00	22400,00	7466,67	420
COMTE NOIR	5	H	PUR SANG	7	1	5	22346,00	10216,00	32562,00	3192,29	270
SAJIR	5	M	PUR SANG	2	0	2	22320,00	0,00	22320,00	11160,00	520
HAVIASSOR	8	H	PUR SANG	5	0	4	22311,00	10037,00	32348,00	4462,20	345
HOUVILLE	3	F	PUR SANG	3	1	2	22199,00	16648,00	38847,00	7399,67	415
AIMANT	8	H	PUR SANG	5	2	3	22170,00	9975,00	32145,00	4434,00	270
FLEUR DE SEL	6	F	PUR SANG	6	2	2	22162,00	9297,00	31459,00	3693,67	295
TANIS	5	F	PUR SANG	7	2	3	22154,00	9968,00	32122,00	3164,86	320
DREAMS	8	M	PUR SANG	4	1	3	22129,00	9957,00	32086,00	5532,25	335
SOGYNT	7	H	PUR SANG	5	2	3	22124,00	9953,00	32077,00	4424,80	325
DON FALCO	7	H	PUR SANG	10	2	5	22091,00	9939,00	32030,00	2209,10	270
KIEVSKY	6	H	PUR SANG	7	2	4	22013,00	9904,00	31917,00	3144,71	310
ROMANCE MARINE	5	F	PUR SANG	8	1	4	21979,00	9887,00	31866,00	2747,38	305
SAMANGAN	3	M	PUR SANG	2	0	2	21960,00	0,00	21960,00	10980,00	500
FAMILLY	4	F	PUR SANG	1	1	0	21950,00	9877,00	31827,00	21950,00	445
MANDANABA	4	F	PUR SANG	1	1	0	21950,00	9877,00	31827,00	21950,00	505
ROSENINSEL	3	F	PUR SANG	5	1	4	21938,00	16452,00	38390,00	4387,60	425
SAMAGACE DU VIVIEN	12	H	PUR SANG	6	2	1	21898,00	9853,00	31751,00	3649,67	240
LIVRY	4	F	PUR SANG	3	2	1	21888,00	9849,00	31737,00	7296,00	365
VIANETA	5	F	PUR SANG	7	2	2	21783,00	9801,00	31584,00	3111,86	230
PELIGROSO	3	H	PUR SANG	5	1	4	21782,00	16334,00	38116,00	4356,40	390
PAINTELLO	5	H	PUR SANG	2	1	1	21722,00	9774,00	31496,00	10861,00	370
LIBECCIO WIND	3	M	PUR SANG	4	0	4	21642,00	0,00	21642,00	5410,50	405
LOFSONGUR ISLANDE	6	F	PUR SANG	5	2	2	21612,00	9724,00	31336,00	4322,40	275
DORIANELLO	6	H	PUR SANG	5	2	3	21608,00	9722,00	31330,00	4321,60	330
MENACANT	3	M	PUR SANG	4	2	0	21600,00	16200,00	37800,00	5400,00	385
CENTRICAL	8	H	PUR SANG	6	2	3	21589,00	9714,00	31303,00	3598,17	400
VOILA POURQUOI	9	H	PUR SANG	7	3	3	21491,00	9669,00	31160,00	3070,14	285
SELF SOLUTION	5	H	PUR SANG	5	2	2	21471,00	0,00	21471,00	4294,20	360
NEKKETSU	3	M	PUR SANG	3	1	2	21412,00	16057,00	37469,00	7137,33	390
HERMES WOOD	4	H	PUR SANG	7	1	6	21388,00	9622,00	31010,00	3055,43	365
ALOYSIUS	4	M	PUR SANG	4	0	3	21379,00	9618,00	30997,00	5344,75	385
LEVER DE RIDEAU	3	H	PUR SANG	4	1	3	21228,00	15920,00	37148,00	5307,00	370
TAJLINA	4	F	PUR SANG	2	0	2	21225,00	9551,00	30776,00	10612,50	485
SPIRIT GREY	6	H	PUR SANG	8	1	7	21170,00	9524,00	30694,00	2646,25	235
VANVITELLI	3	M	PUR SANG	4	1	3	21119,00	15836,00	36955,00	5279,75	390
LE CENTRAL	6	H	PUR SANG	11	1	9	21093,00	9488,00	30581,00	1917,55	325
ZAHYANA	6	F	PUR SANG	3	1	2	21024,00	9460,00	30484,00	7008,00	410
KALKARA	3	H	PUR SANG	4	1	3	20982,00	15734,00	36716,00	5245,50	420
NELLIEDONADO	3	F	PUR SANG	4	1	3	20940,00	15703,00	36643,00	5235,00	390
SIR GARSING	5	H	PUR SANG	9	3	2	20853,00	9383,00	30236,00	2317,00	280
SECOND TO NONE	8	H	PUR SANG	7	1	5	20827,00	0,00	20827,00	2975,29	210
