Nom	Chevaux	Partants	Victoires	Places	Allocation tot.	Prime Prop.	Alloc. + Prime Prop.	Prim. Eleveur	Gain/Part.	Gain/Chev.	Course/Chev.
CRISTIAN DEMURO	393	607	76	364	1953589,00	984902,00	2938491,00	315575,00	3218,43	4971	2
MARVIN GRANDIN	370	637	71	363	1668899,00	850628,00	2519527,00	276803,00	2619,94	4511	2
ANTONIO ORANI	175	322	60	184	984705,00	493641,00	1478346,00	158241,00	3058,09	5627	2
MICKAEL BARZALONA	164	232	55	118	1917035,00	570461,00	2487496,00	179544,00	8263,08	11689	1
ALEXIS POUCHIN	197	286	44	154	1212439,00	532307,00	1744746,00	168998,00	4239,30	6155	1
MAXIME GUYON	147	212	42	117	1209667,00	561166,00	1770833,00	165781,00	5705,98	8229	1
CLEMENT LECOEUVRE	189	291	37	159	954844,00	439518,00	1394362,00	137799,00	3281,25	5052	2
CHRISTOPHE SOUMILLON	164	228	36	140	1237915,00	475159,00	1713074,00	150319,00	5429,45	7548	1
HUGO BESNIER	127	245	33	162	674510,00	363941,00	1038451,00	120764,00	2753,10	5311	2
TONY PICCONE	225	396	32	211	803078,00	339219,00	1142297,00	110190,00	2027,97	3569	2
AURELIEN LEMAITRE	237	388	32	194	823700,00	400351,00	1224051,00	125853,00	2122,94	3476	2
AUGUSTIN MADAMET	229	350	28	213	749951,00	335695,00	1085646,00	117547,00	2142,72	3275	2
HUGO BOUTIN	164	322	27	174	581683,00	268149,00	849832,00	91620,00	1806,47	3547	2
THEO BACHELOT	196	300	26	155	692469,00	336784,00	1029253,00	114867,00	2308,23	3533	2
MME DELPHINE SANTIAGO	149	233	26	98	361793,00	149998,00	511791,00	56431,00	1552,76	2428	2
ANTHONY CRASTUS	250	415	25	232	692179,00	330129,00	1022308,00	118001,00	1667,90	2769	2
HUGO LEBOUC	150	230	25	120	322825,00	139735,00	462560,00	57269,00	1403,59	2152	2
FABRICE VERON	201	291	24	133	476294,00	202631,00	678925,00	74876,00	1636,75	2370	1
THOMAS TRULLIER	176	305	21	166	461186,00	221111,00	682297,00	78454,00	1512,09	2620	2
EDDY HARDOUIN	169	299	21	143	501559,00	234409,00	735968,00	87813,00	1677,45	2968	2
ALEXANDRE GAVILAN	71	128	21	68	286138,00	103133,00	389271,00	49442,00	2235,45	4030	2
ANTOINE WERLE	98	164	19	96	328944,00	166172,00	495116,00	60191,00	2005,76	3357	2
LEONARD PLOMMEE	65	102	19	45	247475,00	103311,00	350786,00	34655,00	2426,23	3807	2
CHRISTOPHER GROSBOIS	115	166	18	83	206919,00	84270,00	291189,00	35116,00	1246,50	1799	1
JEROME CLAUDIC	125	200	17	98	316506,00	138587,00	455093,00	53265,00	1582,53	2532	2
AXEL BARON	98	156	17	87	236303,00	100377,00	336680,00	41704,00	1514,76	2411	2
GUILLAUME GUEDJ-GAY	79	120	17	71	451192,00	159766,00	610958,00	61252,00	3759,93	5711	2
STEPHANE PASQUIER	133	206	16	109	496316,00	233754,00	730070,00	69325,00	2409,30	3732	2
MME FRIDA VALLE SKAR	118	215	16	97	374315,00	181429,00	555744,00	69613,00	1741,00	3172	2
MME AMBRE MOLINS	110	190	16	83	301174,00	136741,00	437915,00	50531,00	1585,13	2738	2
LEO ROUSSEL	93	151	16	75	243236,00	99442,00	342678,00	40041,00	1610,83	2615	2
FABIEN LEFEBVRE	67	137	16	74	243662,00	98547,00	342209,00	39509,00	1778,55	3637	2
LUDOVIC BOISSEAU	162	256	15	128	365921,00	184221,00	550142,00	65166,00	1429,38	2259	2
MARTIN PROTTI	74	108	15	56	174898,00	60065,00	234963,00	22317,00	1619,43	2363	1
DORIAN PROVOST	125	198	14	104	290122,00	136386,00	426508,00	50017,00	1465,26	2321	2
MME CORALIE PACAUT	116	177	14	94	235451,00	118512,00	353963,00	40940,00	1330,23	2030	2
PIERRE REMOUE	116	158	14	80	208252,00	87171,00	295423,00	37448,00	1318,05	1795	1
ENZO CORALLO	103	142	14	62	249861,00	129965,00	379826,00	42143,00	1759,58	2426	1
IORITZ MENDIZABAL	127	200	12	127	349827,00	170145,00	519972,00	63423,00	1749,14	2755	2
MME MARIE WALDHAUSER	74	132	12	73	183015,00	78668,00	261683,00	34298,00	1386,48	2473	2
MME LORETTE GALLO	43	121	12	67	231058,00	123315,00	354373,00	41274,00	1909,57	5373	3
ANTOINE HAMELIN	134	235	11	128	410699,00	223637,00	634336,00	71755,00	1747,66	3065	2
MME MARIE VELON	126	172	11	90	264904,00	120188,00	385092,00	40442,00	1540,14	2102	1
MME ADELINE MEROU	41	68	11	39	96429,00	36358,00	132787,00	18389,00	1418,07	2352	2
