Nom	Chevaux	Partants	Victoires	Places	Allocation tot.	Prime Prop.	Alloc. + Prime Prop.	Prim. Eleveur	Gain/Part.	Gain/Chev.	Course/Chev.
FH. GRAFFARD (S)	123	233	67	132	2095758,00	586885,00	2682643,00	164858,00	8994,67	17039	2
A. FABRE (S)	98	185	28	118	1206605,00	354394,00	1560999,00	108218,00	6522,19	12312	2
C. ESCUDER	127	468	52	270	918095,00	465671,00	1383766,00	148547,00	1961,74	7229	4
J. REYNIER (S)	61	169	30	98	661384,00	292156,00	953540,00	93435,00	3913,51	10842	3
P. COTTIER	53	188	27	122	655246,00	364595,00	1019841,00	119830,00	3485,35	12363	4
Y. BARBEROT (S)	52	163	21	100	609640,00	362037,00	971677,00	92233,00	3740,12	11724	3
HA. PANTALL (S)	101	288	29	164	596680,00	211249,00	807929,00	66135,00	2071,81	5908	3
C&Y. LERNER (S)	46	116	11	70	560310,00	282098,00	842408,00	84818,00	4830,26	12181	3
C. FERLAND (S)	45	104	17	56	517215,00	279929,00	797144,00	72680,00	4973,22	11494	2
JC. ROUGET (S)	45	106	20	69	513781,00	286825,00	800606,00	84067,00	4846,99	11417	2
M. BOUTIN (S)	47	285	24	151	469761,00	228521,00	698282,00	80628,00	1648,28	9995	6
AP. O'BRIEN	7	7	2	2	398045,00	62854,00	460899,00	32055,00	56863,57	56864	1
C. BOUTIN (S)	26	174	19	104	397654,00	183389,00	581043,00	68211,00	2285,37	15294	7
N. PERRET (S)	57	198	17	125	397086,00	196756,00	593842,00	66360,00	2005,48	6966	3
MME M. SCANDELLA-LACAILLE	56	217	24	136	377162,00	202280,00	579442,00	67835,00	1738,07	6735	4
M. DELCHER SANCHEZ	30	80	13	45	373531,00	144844,00	518375,00	41769,00	4669,14	12451	3
S. WATTEL (S)	53	116	12	61	369796,00	212213,00	582009,00	68797,00	3187,90	6977	2
M. BARATTI (S)	47	110	13	70	356416,00	196551,00	552967,00	56687,00	3240,15	7583	2
G. MOSSE (S)	38	116	12	63	352803,00	150704,00	503507,00	52240,00	3041,41	9284	3
M. PITART	57	165	18	92	345849,00	193157,00	539006,00	63860,00	2096,05	6068	3
A. FOUASSIER	70	199	25	109	331675,00	141820,00	473495,00	58828,00	1666,71	4738	3
X. THOMAS-DEMEAULTE (S)	38	57	10	35	319747,00	83360,00	403107,00	35829,00	5609,60	8414	2
P&J. BRANDT (S)	25	66	13	36	307161,00	154137,00	461298,00	52836,00	4653,95	12286	3
R. FRADET (S)	23	109	16	61	302271,00	168783,00	471054,00	57160,00	2773,13	13142	5
N. CAULLERY	46	146	12	69	267596,00	104914,00	372510,00	40827,00	1832,85	5817	3
HF. DEVIN (S)	33	72	11	52	264066,00	133193,00	397259,00	34783,00	3667,58	8002	2
CHR. HEAD (S)	27	55	7	35	248059,00	104896,00	352955,00	24919,00	4510,16	9187	2
ED. MONFORT (S)	43	119	14	73	244603,00	120761,00	365364,00	38138,00	2055,49	5688	3
MME S. GAVILAN	46	150	13	79	244221,00	131462,00	375683,00	44950,00	1628,14	5309	3
M. BRASME (S)	46	140	14	62	241494,00	125635,00	367129,00	42649,00	1724,96	5250	3
F. CHAPPET (S)	35	93	8	50	235368,00	133604,00	368972,00	42922,00	2530,84	6725	3
FR. MONFORT (S)	51	169	12	100	234818,00	111244,00	346062,00	37032,00	1389,46	4604	3
P. GROUALLE (S)	25	63	7	44	229139,00	125738,00	354877,00	37704,00	3637,13	9166	3
M. DELZANGLES	34	78	9	44	228836,00	155237,00	384073,00	46514,00	2933,79	6730	2
D. ARTU (S)	23	116	12	58	220795,00	109805,00	330600,00	41284,00	1903,41	9600	5
G. BIETOLINI	41	92	11	41	218516,00	125075,00	343591,00	35982,00	2375,17	5330	2
F. FORESI	38	184	9	89	208265,00	93010,00	301275,00	34622,00	1131,88	5481	5
RC. MONTENEGRO	43	148	10	79	205948,00	67732,00	273680,00	25778,00	1391,54	4789	3
A. MURPHY (S)	47	113	11	62	204065,00	79165,00	283230,00	20767,00	1805,88	4342	2
CLEMENT & HERMANS (S)	32	65	11	32	198015,00	118171,00	316186,00	32958,00	3046,38	6188	2
J. PARIZE	30	181	9	81	196149,00	76109,00	272258,00	29502,00	1083,70	6538	6
P. DECOUZ (S)	30	72	7	51	193818,00	91322,00	285140,00	32183,00	2691,92	6461	2
J. ANDREU (S)	23	93	14	55	191246,00	113038,00	304284,00	35685,00	2056,41	8315	4
MME Y. VOLLMER	41	146	10	67	184844,00	82438,00	267282,00	30027,00	1266,05	4508	4
D. WATRIGANT (S)	26	56	9	30	183470,00	73818,00	257288,00	28465,00	3276,25	7057	2
TIM. DONWORTH (S)	30	68	10	36	182159,00	93235,00	275394,00	30803,00	2678,81	6072	2
A. BOTTI (S)	34	106	6	63	179965,00	81172,00	261137,00	25998,00	1697,78	5293	3
D. MELE (S)	18	36	10	20	177470,00	56349,00	233819,00	31503,00	4929,72	9859	2
J. BOISNARD (S)	42	122	13	59	176011,00	88784,00	264795,00	30631,00	1442,71	4191	3
L. GADBIN (S)	37	93	9	57	174127,00	92877,00	267004,00	30129,00	1872,33	4706	3
L. BAUDRON (S)	24	76	10	44	169048,00	75613,00	244661,00	27360,00	2224,32	7044	3
D&P. PROD'HOMME (S)	18	72	5	33	165718,00	83914,00	249632,00	30323,00	2301,64	9207	4
