Cheval	Âge	Sexe	Race	Courses	Victoires	Places	Allocation tot.	Prime Prop.	Alloc. + Prime Prop.	Gain moyen	Valeur
EX ANIMO	3	M	PUR SANG	2	0	1	2304,00	0,00	2304,00	1152,00	
DAYTON	4	H	PUR SANG	8	0	4	2293,00	0,00	2293,00	286,63	215
DSCHINGIS AREON	3	H	PUR SANG	4	0	3	2288,00	1716,00	4004,00	572,00	250
MA CHERIE AMOUR	8	F	PUR SANG	6	0	3	2287,00	1028,00	3315,00	381,17	175
DEVIL IN THE SKY	6	H	PUR SANG	2	0	2	2285,00	1028,00	3313,00	1142,50	360
KILOECHO	10	H	PUR SANG	3	0	2	2284,00	1027,00	3311,00	761,33	280
WASACHOP	9	H	PUR SANG	3	0	1	2282,00	1026,00	3308,00	760,67	235
GALIWAY D'ANGE	6	H	PUR SANG	1	0	1	2282,00	1026,00	3308,00	2282,00	220
JUWEL	6	H	PUR SANG	5	0	1	2282,00	1026,00	3308,00	456,40	190
HOLA VALQUIRIA	4	F	PUR SANG	3	0	1	2282,00	1026,00	3308,00	760,67	280
HOT COLD	4	H	PUR SANG	4	0	1	2282,00	1026,00	3308,00	570,50	280
AMITY	4	F	PUR SANG	4	0	1	2282,00	1026,00	3308,00	570,50	250
WALLEM	8	H	PUR SANG	5	0	1	2282,00	0,00	2282,00	456,40	260
UTXA	3	F	PUR SANG	1	0	1	2282,00	0,00	2282,00	2282,00	340
GOUVERNE	4	F	PUR SANG	2	0	2	2276,00	1024,00	3300,00	1138,00	540
KAMRONE CHOP	3	H	PUR SANG	6	0	4	2274,00	1705,00	3979,00	379,00	240
VIDEO GAMES	3	H	PUR SANG	4	0	3	2272,00	1703,00	3975,00	568,00	280
MEKHTALIA	4	F	PUR SANG	5	0	3	2268,00	1020,00	3288,00	453,60	240
TSAR NICOLAS	3	H	PUR SANG	4	0	3	2268,00	1701,00	3969,00	567,00	270
SULTANE	5	F	PUR SANG	4	0	1	2262,00	1017,00	3279,00	565,50	280
LA ROSE NOIRE	4	F	PUR SANG	1	0	1	2262,00	1017,00	3279,00	2262,00	230
THE LAST FOAL	4	H	PUR SANG	2	0	1	2262,00	1017,00	3279,00	1131,00	255
MYRIA DE BERCE	4	F	PUR SANG	2	0	1	2262,00	0,00	2262,00	1131,00	
SAKURASAKU	4	H	PUR SANG	2	0	1	2262,00	1017,00	3279,00	1131,00	290
EMOTIVO	6	F	PUR SANG	1	0	1	2262,00	0,00	2262,00	2262,00	
MONTAIGNE	4	H	PUR SANG	1	0	1	2262,00	0,00	2262,00	2262,00	
MADGIC'M	5	F	PUR SANG	5	0	2	2260,00	1016,00	3276,00	452,00	245
NO TIME	6	F	PUR SANG	5	0	2	2255,00	1014,00	3269,00	451,00	235
DIORA STREET	6	F	PUR SANG	2	0	2	2255,00	1013,00	3268,00	1127,50	150
YAKAMOUN	5	F	PUR SANG	7	0	2	2252,00	1013,00	3265,00	321,71	260
ASPEN	7	H	PUR SANG	7	0	3	2250,00	674,00	2924,00	321,43	155
GOT SHINE	7	F	PUR SANG	4	0	2	2250,00	1012,00	3262,00	562,50	170
JOSTFAN	4	F	PUR SANG	4	0	2	2250,00	337,00	2587,00	562,50	190
MISSIRA	4	F	PUR SANG	4	0	3	2248,00	0,00	2248,00	562,00	300
CALIDORA	2	F	PUR SANG	2	0	2	2238,00	0,00	2238,00	1119,00	
MASCIA MAGIQUE	3	F	PUR SANG	2	0	2	2228,00	1671,00	3899,00	1114,00	325
JAZIRA	4	F	PUR SANG	2	0	1	2223,00	1000,00	3223,00	1111,50	405
AUSPICIOUS	3	F	PUR SANG	1	0	1	2223,00	1667,00	3890,00	2223,00	370
POWERLIST	3	F	PUR SANG	1	0	1	2223,00	1667,00	3890,00	2223,00	
SAINTE MARTHE	3	F	PUR SANG	1	0	1	2223,00	1667,00	3890,00	2223,00	
GLORY KING	3	M	PUR SANG	1	0	1	2223,00	1667,00	3890,00	2223,00	
SYDNEY SUNSET	3	H	PUR SANG	5	0	1	2223,00	1667,00	3890,00	444,60	305
ROSE NOIR	3	F	PUR SANG	1	0	1	2223,00	1667,00	3890,00	2223,00	
DANCE DE LUNE	3	F	PUR SANG	1	0	1	2223,00	1667,00	3890,00	2223,00	
FINLANDAISE	3	F	PUR SANG	1	0	1	2223,00	1667,00	3890,00	2223,00	
DANCE GONE	3	F	PUR SANG	1	0	1	2223,00	1667,00	3890,00	2223,00	
THE PISTOL STAR	3	F	PUR SANG	2	0	1	2223,00	1667,00	3890,00	1111,50	
STAR FIXX	3	F	PUR SANG	2	0	1	2223,00	1667,00	3890,00	1111,50	
LIGHTASS FAL	3	F	PUR SANG	3	0	1	2223,00	1667,00	3890,00	741,00	320
SACRED SPIRIT	6	H	PUR SANG	1	0	1	2223,00	0,00	2223,00	2223,00	445
NIAGARO	7	M	PUR SANG	1	0	1	2223,00	0,00	2223,00	2223,00	420
SEAYA	3	F	PUR SANG	1	0	1	2223,00	1667,00	3890,00	2223,00	
PERSIAN CENTURION	3	F	PUR SANG	1	0	1	2223,00	1667,00	3890,00	2223,00	375
MASAIYA	5	F	PUR SANG	2	0	1	2223,00	0,00	2223,00	1111,50	405
ELEGANZ	4	F	PUR SANG	1	0	1	2223,00	0,00	2223,00	2223,00	445
TALES OF THE HEART	4	F	PUR SANG	1	0	1	2223,00	0,00	2223,00	2223,00	
BAHI	3	M	PUR SANG	1	0	1	2223,00	0,00	2223,00	2223,00	
ZARIBIYAN	3	M	PUR SANG	1	0	1	2223,00	0,00	2223,00	2223,00	
ILITHYIE	3	F	PUR SANG	1	0	1	2223,00	0,00	2223,00	2223,00	
