Nom	Chevaux	Partants	Victoires	Places	Allocation tot.	Prime Prop.	Alloc. + Prime Prop.	Prim. Eleveur	Gain/Part.	Gain/Chev.	Course/Chev.
WERTHEIMER & FRERE	83	195	48	112	1481745,00	687041,00	2168786,00	184398,00	7598,69	17852	2
AGA KHAN STUDS	40	82	34	35	1469755,00	354889,00	1824644,00	110853,00	17923,84	36744	2
TABOR/SMITH/MAGNIER/WESTERBERG	2	2	2	0	1171370,00	234274,00	1405644,00	119479,00	585685,00	585685	1
MR GERARD AUGUSTIN-NORMAND	106	293	40	184	656996,00	352603,00	1009599,00	178118,00	2242,31	6198	3
GOUSSERIE RACING	49	178	27	105	504410,00	288132,00	792542,00	129978,00	2833,76	10294	4
GODOLPHIN SNC	32	61	10	37	438666,00	19218,00	457884,00	7984,00	7191,25	13708	2
MME J. MAGNIER/D.SMITH/M.TABOR	3	4	1	2	416615,00	0,00	416615,00	0,00	104153,75	138872	1
AL SHAQAB RACING	32	59	12	38	374072,00	204617,00	578689,00	60481,00	6340,20	11690	2
WATHNAN RACING	21	30	6	19	347961,00	88861,00	436822,00	31156,00	11598,70	16570	1
MR JEAN-CLAUDE SEROUL	41	128	14	89	312121,00	185088,00	497209,00	53146,00	2438,45	7613	3
JUDDMONTE FARMS INC	20	36	8	21	246269,00	14591,00	260860,00	2893,00	6840,81	12313	2
MR ALAIN JATHIERE	31	78	10	44	231226,00	127812,00	359038,00	54539,00	2964,44	7459	3
ECURIE NICOLATO	36	210	26	121	228758,00	102681,00	331439,00	76359,00	1089,32	6354	6
VICTORIOUS FOREVER	2	2	1	0	228560,00	0,00	228560,00	0,00	114280,00	114280	1
MR JEAN-PIERRE-JOSEPH DUBOIS	26	75	15	48	226104,00	155519,00	381623,00	59005,00	3014,72	8696	3
YEGUADA CENTURION SLU	17	39	9	20	208655,00	133999,00	342654,00	31570,00	5350,13	12274	2
MR BERNARD GIRAUDON	33	132	18	68	205736,00	118401,00	324137,00	58615,00	1558,61	6234	4
MAGNIER/TABOR/SMITH/WESTERBERG	2	3	0	2	181510,00	0,00	181510,00	0,00	60503,33	90755	2
MR MANSOOR KHALIL M. AL-SHAHWANI	1	2	1	1	178230,00	17653,00	195883,00	9508,00	89115,00	178230	2
