Nom	Chevaux	Partants	Victoires	Places	Allocation tot.	Prime Prop.	Alloc. + Prime Prop.	Prim. Eleveur	Gain/Part.	Gain/Chev.	Course/Chev.
AVATARA S.A.	16	62	5	34	85588,00	48367,00	133955,00	17452,00	1380,45	5349	4
MR SVEN GOLDMANN	5	23	3	13	91969,00	41380,00	133349,00	17330,00	3998,65	18394	5
HARAS DU MONT DIT MONT	21	58	3	36	131804,00	70775,00	202579,00	17272,00	2272,48	6276	3
MR RENAUD BAGUENAULT DE PUCHESSE	8	33	5	16	97287,00	52446,00	149733,00	17138,00	2948,09	12161	4
ECURIE HARAS DE SAINT VINCENT	14	55	6	35	110257,00	69344,00	179601,00	16771,00	2004,67	7876	4
SC  ECURIE DE MEAUTRY	15	55	5	32	115636,00	54871,00	170507,00	16680,00	2102,47	7709	4
HARAS DE SAINT-VOIR	12	26	3	17	93464,00	36137,00	129601,00	16247,00	3594,77	7789	2
MR FRANCOIS MAILLOT	11	31	6	15	86548,00	19246,00	105794,00	16127,00	2791,87	7868	3
RIVIERA EQUINE S.A.R.L	21	73	6	40	211850,00	142943,00	354793,00	15756,00	2902,05	10088	3
SCEA  ECURIE BADER	8	26	6	12	82743,00	37983,00	120726,00	15749,00	3182,42	10343	3
MME LISA LEMIERE DUBOIS	10	31	4	20	102420,00	48477,00	150897,00	15732,00	3303,87	10242	3
ECURIE JEAN-LOUIS BOUCHARD	8	27	2	17	79833,00	47312,00	127145,00	15669,00	2956,78	9979	3
MR BEREND VAN DALFSEN	7	41	4	22	98640,00	44542,00	143182,00	15574,00	2405,85	14091	6
MR JEREMY PARA	6	23	6	14	83768,00	62522,00	146290,00	15004,00	3642,09	13961	4
APPAPAYS RACING CLUB	11	49	3	29	74906,00	40391,00	115297,00	14993,00	1528,69	6810	4
SUC. ROGER-YVES SIMON	22	85	19	33	143838,00	69183,00	213021,00	14568,00	1692,21	6538	4
MR ANTHONY GOURAMA	1	2	1	1	62780,00	47085,00	109865,00	14281,00	31390,00	62780	2
ECURIE DE CASTILLON	30	102	9	56	175693,00	103022,00	278715,00	14137,00	1722,48	5856	3
EURL FREDDY HEAD	7	26	5	10	75079,00	34407,00	109486,00	14049,00	2887,65	10726	4
MR FLORENT PICARD	6	30	4	10	103724,00	46764,00	150488,00	14009,00	3457,47	17287	5
MME FRANCOISE PERREE	14	58	2	30	67547,00	46889,00	114436,00	13905,00	1164,60	4825	4
MR MANFRED WURTENBERGER	5	15	5	9	96248,00	68582,00	164830,00	13450,00	6416,53	19250	3
HARAS DE GRANDCAMP EARL	18	63	2	40	72695,00	38405,00	111100,00	13341,00	1153,89	4039	4
WHITE BIRCH FARM	10	33	4	16	125649,00	70732,00	196381,00	13065,00	3807,55	12565	3
HERALD BLOODSTOCK LTD	9	33	5	16	100248,00	39251,00	139499,00	13013,00	3037,82	11139	4
