Nom	Chevaux	Partants	Victoires	Places	Allocation tot.	Prime Prop.	Alloc. + Prime Prop.	Prim. Eleveur	Gain/Part.	Gain/Chev.	Course/Chev.
MAXIME GUYON	109	131	27	71	733045,00	377722,00	1110767,00	115908,00	5595,76	6725	1
MICKAEL BARZALONA	103	124	26	64	595746,00	244003,00	839749,00	71666,00	4804,40	5784	1
ANTONIO ORANI	90	114	24	64	379415,00	210310,00	589725,00	66383,00	3328,20	4216	1
MARVIN GRANDIN	176	226	23	135	553854,00	307936,00	861790,00	97194,00	2450,68	3147	1
CRISTIAN DEMURO	163	202	19	123	651511,00	343396,00	994907,00	108768,00	3225,30	3997	1
ALEXIS POUCHIN	113	136	17	76	511395,00	195275,00	706670,00	62308,00	3760,26	4526	1
CHRISTOPHE SOUMILLON	91	110	17	63	474164,00	189971,00	664135,00	55227,00	4310,58	5211	1
AURELIEN LEMAITRE	114	145	16	78	398045,00	225712,00	623757,00	67416,00	2745,14	3492	1
HUGO BESNIER	62	86	16	55	257422,00	145038,00	402460,00	48118,00	2993,28	4152	1
MME DELPHINE SANTIAGO	83	103	14	43	174961,00	73829,00	248790,00	28090,00	1698,65	2108	1
TONY PICCONE	112	153	13	77	302720,00	116181,00	418901,00	38194,00	1978,56	2703	1
AUGUSTIN MADAMET	111	127	12	75	261626,00	113499,00	375125,00	42611,00	2060,05	2357	1
ALEXANDRE GAVILAN	41	54	12	27	141470,00	45950,00	187420,00	27052,00	2619,81	3450	1
ANTHONY CRASTUS	97	127	10	69	213524,00	107939,00	321463,00	38950,00	1681,29	2201	1
CLEMENT LECOEUVRE	102	124	10	66	309929,00	130636,00	440565,00	42563,00	2499,43	3039	1
THEO BACHELOT	97	116	10	56	279442,00	144095,00	423537,00	48159,00	2408,98	2881	1
LUDOVIC BOISSEAU	86	117	9	58	193843,00	94821,00	288664,00	34050,00	1656,78	2254	1
HUGO LEBOUC	75	86	9	45	122284,00	58173,00	180457,00	21775,00	1421,91	1630	1
DORIAN PROVOST	67	84	9	43	170768,00	75051,00	245819,00	28827,00	2032,95	2549	1
MALONE FAVRIAUX	60	75	9	38	154884,00	65201,00	220085,00	21307,00	2065,12	2581	1
HUGO BOUTIN	89	120	8	72	206333,00	92260,00	298593,00	32743,00	1719,44	2318	1
ANTOINE WERLE	48	62	8	38	142153,00	81393,00	223546,00	26941,00	2292,79	2962	1
EDDY HARDOUIN	79	103	7	49	164448,00	75754,00	240202,00	27371,00	1596,58	2082	1
JEROME CLAUDIC	67	82	7	40	107607,00	49440,00	157047,00	18356,00	1312,28	1606	1
GUILLAUME GUEDJ-GAY	42	52	7	29	113368,00	60752,00	174120,00	22564,00	2180,15	2699	1
AXEL BARON	44	56	7	26	81001,00	38301,00	119302,00	15313,00	1446,45	1841	1
JEREMY MOISAN	13	16	7	9	42799,00	19512,00	62311,00	7703,00	2674,94	3292	1
THOMAS TRULLIER	97	119	6	70	162737,00	76626,00	239363,00	26394,00	1367,54	1678	1
ANTOINE HAMELIN	64	85	6	53	158932,00	86746,00	245678,00	27457,00	1869,79	2483	1
MME CORALIE PACAUT	61	73	6	42	89936,00	42196,00	132132,00	14819,00	1232,00	1474	1
MME FRIDA VALLE SKAR	57	82	6	40	172779,00	82461,00	255240,00	32540,00	2107,06	3031	1
JULIEN GUILLOCHON	43	57	6	35	75238,00	25320,00	100558,00	13073,00	1319,96	1750	1
MME AMBRE MOLINS	57	75	6	33	90332,00	41517,00	131849,00	14506,00	1204,43	1585	1
MME MARIE WALDHAUSER	44	52	6	29	70422,00	26798,00	97220,00	13262,00	1354,27	1600	1
ENZO CORALLO	49	55	6	27	87566,00	43691,00	131257,00	14729,00	1592,11	1787	1
MARTIN PROTTI	35	38	6	18	61503,00	19072,00	80575,00	6666,00	1618,50	1757	1
