Nom	Chevaux	Partants	Victoires	Places	Allocation tot.	Prime Prop.	Alloc. + Prime Prop.	Prim. Eleveur	Gain/Part.	Gain/Chev.	Course/Chev.
MME CARINNE BABIN GUILLOCHON	2	3	0	2	124,00	0,00	124,00	181,00	41,33	62	2
MME CECILE DE BLAUDIN DE THE	1	5	0	2	122,00	91,00	213,00	557,00	24,40	122	5
MR PAUL MULDER	2	3	0	2	122,00	0,00	122,00	220,00	40,67	61	2
MR JEAN-PIERRE MOREL	1	4	0	1	120,00	54,00	174,00	49,00	30,00	120	4
MR PATRICK MADAR	1	4	0	1	120,00	90,00	210,00	357,00	30,00	120	4
MR SERGE ASSOUS	2	8	0	1	120,00	90,00	210,00	357,00	15,00	60	4
MR HUGO NAMUR	1	3	0	2	118,00	53,00	171,00	57,00	39,33	118	3
MME LOETITIA DULAS	2	7	0	3	118,00	88,00	206,00	270,00	16,86	59	4
MR OLIVIER RATTEL	2	3	0	1	118,00	53,00	171,00	65,00	39,33	59	2
MME NELLY RAPIN	2	9	0	1	118,00	89,00	207,00	108,00	13,11	59	5
MME ELIANE SIMONET	1	5	0	1	117,00	0,00	117,00	84,00	23,40	117	5
MME MELINDA LEFEVRE	1	5	0	1	117,00	0,00	117,00	84,00	23,40	117	5
MR VINCENT LECHENAULT	2	3	0	1	117,00	87,00	204,00	53,00	39,00	58	2
MME FLORE LEFEVRE	1	5	0	1	117,00	0,00	117,00	84,00	23,40	117	5
MME LUDIVINE LEFEVRE	2	6	0	1	117,00	0,00	117,00	84,00	19,50	58	3
MR ERIC MARTIN	1	5	0	1	115,00	51,00	166,00	86,00	23,00	115	5
MR LUDOVIC LOUIS	2	3	0	1	115,00	0,00	115,00	207,00	38,33	58	2
MR BERNARD ROCHETTE	2	3	0	1	114,00	51,00	165,00	65,00	38,00	57	2
MME ANNE-SOPHIE LECOMTE	1	1	0	1	114,00	0,00	114,00	121,00	114,00	114	1
MME GERALDINE TRAVERT	1	1	0	1	114,00	0,00	114,00	121,00	114,00	114	1
ELEVAGE DU TENERAY	1	1	0	1	114,00	0,00	114,00	182,00	114,00	114	1
MR LAURENT LEFEVRE	4	13	0	5	112,00	63,00	175,00	472,00	8,62	28	3
MR VINCENT BARRIER	1	2	0	1	112,00	84,00	196,00	182,00	56,00	112	2
MME NATACHA DURANDO	1	2	0	1	112,00	84,00	196,00	182,00	56,00	112	2
MR YVES DESCOURTY	1	2	0	1	112,00	84,00	196,00	182,00	56,00	112	2
MME CHARLOTTE DESCOURTY	1	2	0	1	112,00	84,00	196,00	182,00	56,00	112	2
MR CLAUDE BARRIER	1	2	0	1	112,00	84,00	196,00	182,00	56,00	112	2
MR BRUNO DUBOIS	1	2	0	1	112,00	84,00	196,00	182,00	56,00	112	2
MR ETIENNE COURNAULT	1	2	0	1	110,00	0,00	110,00	79,00	55,00	110	2
MR CHARLES MAQUENNEHAN	1	2	0	1	110,00	0,00	110,00	79,00	55,00	110	2
MME BARBARA NIGGE	2	6	0	4	110,00	74,00	184,00	452,00	18,33	55	3
MME MANON LOUCHE	1	3	0	2	109,00	81,00	190,00	495,00	36,33	109	3
SARL ECURIE LA TOUR DE VANDEL	1	1	0	1	109,00	82,00	191,00	163,00	109,00	109	1
MR BERTRAND MANDULA	1	3	0	2	109,00	81,00	190,00	495,00	36,33	109	3
MR REMI CHEDAL ANGLAY	1	3	0	1	108,00	48,00	156,00	66,00	36,00	108	3
MR MARCEL KAHN	1	10	0	1	108,00	0,00	108,00	0,00	10,80	108	10
MME ANNE-VALERIE AUBERT	1	1	0	1	105,00	0,00	105,00	189,00	105,00	105	1
MME MARIE CHANCE	1	6	0	1	105,00	78,00	183,00	156,00	17,50	105	6
MR PASCAL GARRY	1	1	0	1	102,00	46,00	148,00	38,00	102,00	102	1
MR ULRICH WOLF	1	2	0	1	101,00	0,00	101,00	64,00	50,50	101	2
MR GUY-CHARLES BECRIT	1	4	0	2	101,00	75,00	176,00	92,00	25,25	101	4
MME CHRISTINE LE TURNIER	3	5	0	1	101,00	0,00	101,00	64,00	20,20	34	2
ECURIE MARTIAL	1	4	0	1	100,00	75,00	175,00	59,00	25,00	100	4
MR CYRILLE COSNARD	1	1	0	1	100,00	0,00	100,00	90,00	100,00	100	1
MME MATHILDE LEFEBVRE	1	5	0	2	99,00	44,00	143,00	186,00	19,80	99	5
MR OLIVIER MARQUET	1	5	0	2	99,00	44,00	143,00	186,00	19,80	99	5
MR BAPTISTE PHILIPPE	1	3	0	2	97,00	72,00	169,00	442,00	32,33	97	3
COMTE GUILLAUME DE BRONDEAU	1	1	0	1	96,00	0,00	96,00	69,00	96,00	96	1
MR GHISLAIN DE BRONDEAU	1	1	0	1	96,00	0,00	96,00	69,00	96,00	96	1
MME HENRIETTA CHARLET	1	2	0	2	95,00	71,00	166,00	216,00	47,50	95	2
MR FREDERIC DEVAUCHELLE	1	1	0	1	95,00	42,00	137,00	358,00	95,00	95	1
MR FABRICE LOMBARDIN	2	6	0	3	95,00	15,00	110,00	92,00	15,83	48	3
MME MICHELLE MARGOT	1	4	0	1	94,00	42,00	136,00	178,00	23,50	94	4
MR BRIAN DUNN	2	6	0	1	93,00	42,00	135,00	70,00	15,50	46	3
MR NICOLAS RAZIK	1	4	0	1	93,00	70,00	163,00	92,00	23,25	93	4
MR GIUSEPPE QUINTALE	1	1	0	1	91,00	68,00	159,00	54,00	91,00	91	1
MR CHRISTIAN CIMOLAI	1	1	0	1	91,00	68,00	159,00	71,00	91,00	91	1
MME SOPHIE GUERIN	1	1	0	1	91,00	0,00	91,00	182,00	91,00	91	1
MR PHILIPPE ROUSSEAU	1	2	0	2	90,00	0,00	90,00	120,00	45,00	90	2
