Nom	Chevaux	Partants	Victoires	Places	Allocation tot.	Prime Prop.	Alloc. + Prime Prop.	Prim. Eleveur	Gain/Part.	Gain/Chev.	Course/Chev.
JPJ. DUBOIS	4	9	2	3	18110,00	10207,00	28317,00	3778,00	2012,22	4528	2
B. DENIEL	1	5	2	3	18083,00	0,00	18083,00	3254,00	3616,60	18083	5
R. VARIAN	7	7	0	2	17935,00	0,00	17935,00	0,00	2562,14	2562	1
A. LOPEZ	4	18	2	3	17930,00	8068,00	25998,00	2731,00	996,11	4482	5
N. GEORGE & A. ZETTERHOLM (S)	8	11	1	8	17864,00	5462,00	23326,00	2585,00	1624,00	2233	1
FX. CHEVIGNY (S)	2	19	0	9	17480,00	0,00	17480,00	0,00	920,00	8740	10
MME A. SAINJON	3	12	2	5	17460,00	0,00	17460,00	3140,00	1455,00	5820	4
MME L. LE GEAY	5	16	1	8	17448,00	5375,00	22823,00	3164,00	1090,50	3490	3
H. TABET	1	5	1	3	17216,00	7746,00	24962,00	3243,00	3443,20	17216	5
JC. SOUKAI	3	20	2	11	17130,00	10417,00	27547,00	3574,00	856,50	5710	7
L. BOUTAULT	2	25	2	9	17091,00	7217,00	24308,00	2852,00	683,64	8546	13
MME R. BOUCKHUYT	3	17	2	2	17087,00	7689,00	24776,00	2104,00	1005,12	5696	6
A. LEZAMA MENENDEZ	7	30	1	5	17010,00	7654,00	24664,00	3204,00	567,00	2430	4
E. PUENTE SIMON	11	50	2	10	16843,00	6768,00	23611,00	2937,00	336,86	1531	5
MME F. CHENU	5	51	0	26	16822,00	6098,00	22920,00	3108,00	329,84	3364	10
MME C. RONDELE-LANCELIN	2	14	1	8	16780,00	7549,00	24329,00	3159,00	1198,57	8390	7
M. SCHIESTEL	4	29	2	11	16612,00	3941,00	20553,00	2902,00	572,83	4153	7
A. SEFIANE	1	18	1	5	16264,00	12197,00	28461,00	3697,00	903,56	16264	18
MME F. AESCHBACHER	6	19	0	7	16250,00	8632,00	24882,00	3358,00	855,26	2708	3
E. ZAHARIEV	8	12	1	2	16134,00	7075,00	23209,00	2962,00	1344,50	2017	2
Y. MARIE	3	29	0	18	16085,00	9140,00	25225,00	3268,00	554,66	5362	10
M. STEHLI	4	11	2	2	16056,00	7225,00	23281,00	3011,00	1459,64	4014	3
C. PROVOT	2	8	0	5	15947,00	7175,00	23122,00	3004,00	1993,38	7974	4
C. GUYON	1	8	1	2	15895,00	7152,00	23047,00	2995,00	1986,88	15895	8
RM. DUPUIS	3	29	1	10	15830,00	1159,00	16989,00	529,00	545,86	5277	10
L. FABRE (S)	2	5	1	1	15812,00	1584,00	17396,00	480,00	3162,40	7906	3
MME J. MERCIER	3	36	1	16	15770,00	7965,00	23735,00	3063,00	438,06	5257	12
PJ. CARLOTTI	2	7	1	6	15745,00	0,00	15745,00	2831,00	2249,29	7872	4
JL. FOURSANS-BOURDETTE	3	31	0	13	15739,00	7078,00	22817,00	2693,00	507,71	5246	10
N.DE LAGENESTE	8	10	1	6	15696,00	573,00	16269,00	2796,00	1569,60	1962	1
MME M. BRUERE	6	42	0	21	15672,00	3569,00	19241,00	2208,00	373,14	2612	7
MME A. CROUIN	1	6	1	3	15370,00	6916,00	22286,00	2896,00	2561,67	15370	6
MME G. MENATO	13	26	0	10	15069,00	0,00	15069,00	2676,00	579,58	1159	2
R. ROELS	3	20	0	7	14955,00	6727,00	21682,00	2815,00	747,75	4985	7
G. GUILLERMO	8	70	1	16	14872,00	5033,00	19905,00	2678,00	212,46	1859	9
MME S. MOLLER	1	7	1	5	14865,00	0,00	14865,00	0,00	2123,57	14865	7
