Cheval	Âge	Sexe	Race	Courses	Victoires	Places	Allocation tot.	Prime Prop.	Alloc. + Prime Prop.	Gain moyen	Valeur
DIAMOND NECKLACE	3	F	PUR SANG	3	2	1	977110,00	195422,00	1172532,00	325703,33	545
RAYIF	3	M	PUR SANG	3	2	1	954250,00	0,00	954250,00	318083,33	545
CONSTITUTION RIVER	3	M	PUR SANG	1	1	0	857100,00	171420,00	1028520,00	857100,00	560
HAWK MOUNTAIN	3	M	PUR SANG	2	1	1	379500,00	0,00	379500,00	189750,00	525
AVENTURE	5	F	PUR SANG	4	2	2	353520,00	87661,00	441181,00	88380,00	535
MALTESE CROSS	3	M	PUR SANG	1	1	0	342840,00	68568,00	411408,00	342840,00	515
PINK PANTHERA	3	F	PUR SANG	7	3	4	316441,00	111599,00	428040,00	45205,86	515
DARYZ	4	M	PUR SANG	2	2	0	314270,00	62854,00	377124,00	157135,00	575
SAMANGAN	3	M	PUR SANG	4	1	3	261932,00	0,00	261932,00	65483,00	535
ZEUS OLYMPIOS	4	M	PUR SANG	1	0	1	228600,00	0,00	228600,00	228600,00	540
CALANDAGAN	5	H	PUR SANG	1	1	0	228560,00	0,00	228560,00	228560,00	575
CABALLO DE MAR	5	H	PUR SANG	1	1	0	228560,00	0,00	228560,00	228560,00	520
THESECRETADVERSARY	3	M	PUR SANG	2	1	0	228560,00	0,00	228560,00	114280,00	520
SENORITA BONITA	2	F	PUR SANG	1	1	0	199990,00	0,00	199990,00	199990,00	485
MONTREAL	3	M	PUR SANG	3	0	3	189840,00	0,00	189840,00	63280,00	525
KOMOREBI	3	H	PUR SANG	4	1	1	185190,00	0,00	185190,00	46297,50	515
NO LUNCH	5	M	PUR SANG	5	4	1	183530,00	68313,00	251843,00	36706,00	525
PRECISE	3	F	PUR SANG	2	0	2	182880,00	0,00	182880,00	91440,00	520
BRIGHT PICTURE	5	H	PUR SANG	3	2	1	173010,00	60709,00	233719,00	57670,00	530
BLUE BOLT	4	F	PUR SANG	1	1	0	171420,00	0,00	171420,00	171420,00	540
ALAM	3	M	PUR SANG	5	1	4	157468,00	56784,00	214252,00	31493,60	510
THE LAST DANCE	3	F	PUR SANG	3	2	1	150880,00	44008,00	194888,00	50293,33	500
TOKAIDO	2	H	PUR SANG	5	4	1	150786,00	0,00	150786,00	30157,20	485
MASTER MAN	2	M	PUR SANG	3	2	1	146410,00	12306,00	158716,00	48803,33	460
GAZI	3	M	PUR SANG	5	1	4	145014,00	11260,00	156274,00	29002,80	460
BEHRAYNA	3	F	PUR SANG	4	4	0	141930,00	106446,00	248376,00	35482,50	515
ANCIENT EGYPT	3	M	PUR SANG	1	0	1	137160,00	0,00	137160,00	137160,00	500
SILIUS	4	M	PUR SANG	7	3	4	134140,00	60362,00	194502,00	19162,86	500
HALF HALF	6	H	PUR SANG	10	2	7	132006,00	59398,00	191404,00	13200,60	455
NIGHTTIME	3	M	PUR SANG	4	1	2	128190,00	70996,00	199186,00	32047,50	510
SANTORINI STAR	5	F	PUR SANG	2	0	2	127675,00	0,00	127675,00	63837,50	505
CUALIFICAR	4	M	PUR SANG	4	0	4	120090,00	0,00	120090,00	30022,50	545
PEARLED MAJESTY	3	M	PUR SANG	4	3	0	117230,00	0,00	117230,00	29307,50	500
STOLEN KISS	4	M	PUR SANG	5	3	1	116634,00	41626,00	158260,00	23326,80	530
ZELZARI	5	H	PUR SANG	8	4	4	116196,00	52284,00	168480,00	14524,50	505
