Cheval	Âge	Sexe	Race	Courses	Victoires	Places	Allocation tot.	Prime Prop.	Alloc. + Prime Prop.	Gain moyen	Valeur
GELINA	3	F	PUR SANG	2	0	2	3674,00	0,00	3674,00	1837,00	
VRUMPEA	5	F	PUR SANG	5	0	2	3670,00	1651,00	5321,00	734,00	270
YAKFEEK	3	H	PUR SANG	7	0	3	3670,00	0,00	3670,00	524,29	275
BERMUDA LONGTAIL	3	F	PUR SANG	1	0	1	3660,00	2745,00	6405,00	3660,00	440
MOHA DU SEUIL	3	H	CHEVAL AUTRE QUE PUR SANG	2	0	1	3660,00	0,00	3660,00	1830,00	
BOLSTER	5	H	PUR SANG	1	0	1	3660,00	0,00	3660,00	3660,00	500
MY CLOUD	4	M	PUR SANG	1	0	1	3660,00	0,00	3660,00	3660,00	470
LAUREATE CROWN	2	H	PUR SANG	1	0	1	3660,00	2745,00	6405,00	3660,00	395
SERVING WITH STYLE	3	F	PUR SANG	1	0	1	3660,00	0,00	3660,00	3660,00	415
ROCHFORTBRIDGE	2	M	PUR SANG	1	0	1	3660,00	0,00	3660,00	3660,00	450
LYRICS OF LIFE	2	F	PUR SANG	1	0	1	3660,00	0,00	3660,00	3660,00	425
STARGAZED	2	F	PUR SANG	1	0	1	3660,00	0,00	3660,00	3660,00	375
NIEDERBRONN	2	M	PUR SANG	2	0	1	3656,00	2742,00	6398,00	1828,00	
ZAMASIYA	3	F	PUR SANG	4	0	3	3655,00	2740,00	6395,00	913,75	285
MEKHTALIA	3	F	PUR SANG	6	0	2	3654,00	2739,00	6393,00	609,00	290
SITOI	4	H	PUR SANG	7	0	4	3651,00	1642,00	5293,00	521,57	310
LITTLE DARLING	3	F	PUR SANG	10	0	3	3650,00	2100,00	5750,00	365,00	220
SWIFTWAY	5	F	PUR SANG	4	0	1	3648,00	1641,00	5289,00	912,00	360
ROBOT ROCK	3	H	PUR SANG	3	0	1	3640,00	2730,00	6370,00	1213,33	300
BAY MOON	3	H	PUR SANG	10	0	4	3638,00	2728,00	6366,00	363,80	230
MOLAINE	3	F	CHEVAL AUTRE QUE PUR SANG	6	0	3	3630,00	0,00	3630,00	605,00	
ATSANA	7	F	PUR SANG	4	0	2	3626,00	1631,00	5257,00	906,50	210
LOANA DUCORMIER	4	F	CHEVAL AUTRE QUE PUR SANG	5	0	3	3625,00	0,00	3625,00	725,00	
VISTA OF DOVER	3	H	PUR SANG	2	0	2	3625,00	0,00	3625,00	1812,50	570
PROLETARIAT	5	H	PUR SANG	12	0	7	3624,00	1628,00	5252,00	302,00	220
NEXT SHARES	3	H	PUR SANG	7	0	4	3623,00	2716,00	6339,00	517,57	265
JETSTAR FOREZ AA	6	F	*ANGLO-ARABE COMPLEMENT*	3	0	3	3620,00	0,00	3620,00	1206,67	
DI BAHIA	3	F	PUR SANG	12	0	4	3609,00	2706,00	6315,00	300,75	195
MICHEL	2	H	PUR SANG	3	0	3	3608,00	2704,00	6312,00	1202,67	330
NATAO	3	H	PUR SANG	9	0	5	3604,00	2701,00	6305,00	400,44	210
MOJITO JUNIOR	6	H	PUR SANG	4	1	0	3600,00	1620,00	5220,00	900,00	600
NIKITA DU MAZET	6	F	PUR SANG	7	1	0	3600,00	1620,00	5220,00	514,29	215
ANOTHER STORY	3	F	PUR SANG	6	1	0	3600,00	2700,00	6300,00	600,00	330
MANIGOD	4	H	PUR SANG	1	0	1	3600,00	1620,00	5220,00	3600,00	300
OLYMPIA DE TESE	3	F	ARABE	2	0	2	3600,00	2700,00	6300,00	1800,00	410
KELISTAN	3	F	PUR SANG	6	0	4	3600,00	2700,00	6300,00	600,00	515
FAMILY SILVER	4	F	PUR SANG	3	0	3	3600,00	0,00	3600,00	1200,00	280
ANUQUET	4	M	PUR SANG	3	0	1	3600,00	0,00	3600,00	1200,00	300
CLEOPATRE	3	F	PUR SANG	8	0	3	3600,00	0,00	3600,00	450,00	250
MAZEED DU SOLEIL	3	M	ARABE	2	0	2	3600,00	0,00	3600,00	1800,00	
SHOWGA	3	F	PUR SANG	8	0	4	3591,00	2692,00	6283,00	448,88	240
LA VENEZZIA	4	F	PUR SANG	6	0	3	3588,00	1614,00	5202,00	598,00	230
EYE OF THE TIGER	3	H	PUR SANG	2	0	2	3588,00	2691,00	6279,00	1794,00	
INDIAN SUNSET	6	F	PUR SANG	12	0	6	3580,00	1610,00	5190,00	298,33	280
BELLA JOSEPHINE	2	F	PUR SANG	8	0	3	3580,00	2685,00	6265,00	447,50	290
L'ACTRICE	4	F	CHEVAL AUTRE QUE PUR SANG	3	0	3	3565,00	0,00	3565,00	1188,33	
MARTINELLI	2	F	PUR SANG	3	0	2	3562,00	2671,00	6233,00	1187,33	365
HURRICANE LIGHT	10	H	PUR SANG	9	1	1	3560,00	1602,00	5162,00	395,56	180
COGNAC	5	H	PUR SANG	9	0	3	3560,00	1601,00	5161,00	395,56	220
SUMER SUNSET	5	H	PUR SANG	5	0	3	3559,00	1601,00	5160,00	711,80	210
GENTILESCHI	4	F	PUR SANG	8	0	2	3556,00	1600,00	5156,00	444,50	245
SECULIER	3	H	PUR SANG	9	0	3	3556,00	1992,00	5548,00	395,11	240
PRINCE LOS	7	H	PUR SANG	17	0	8	3550,00	1596,00	5146,00	208,82	150
BIRCHPACOLAURGREEN	3	F	PUR SANG	6	0	3	3550,00	1575,00	5125,00	591,67	235
SONG OF DUBAI	3	F	PUR SANG	3	0	2	3546,00	0,00	3546,00	1182,00	325
CHIEF RED CLOUD	6	M	PUR SANG	8	0	5	3540,00	1592,00	5132,00	442,50	220
LA CASITA	4	F	CHEVAL AUTRE QUE PUR SANG	2	0	2	3540,00	0,00	3540,00	1770,00	
SI PASSIONE	4	H	PUR SANG	5	0	4	3540,00	927,00	4467,00	708,00	230
