Cheval	Âge	Sexe	Race	Courses	Victoires	Places	Allocation tot.	Prime Prop.	Alloc. + Prime Prop.	Gain moyen	Valeur
KENSILVER	4	M	PUR SANG	4	2	2	29138,00	13110,00	42248,00	7284,00	320
BAKLAWA	3	F	PUR SANG	3	1	1	28986,00	21739,00	50725,00	9662,00	450
BLUFF	6	H	PUR SANG	10	3	4	28966,00	13033,00	41999,00	2896,00	290
PINK PANTHERA	3	F	PUR SANG	3	2	1	28966,00	21724,00	50690,00	9655,00	420
SAHIMAA	3	F	PUR SANG	4	2	2	28862,00	21646,00	50508,00	7215,00	410
GUSTO (GER)	3	M	PUR SANG	3	1	2	28360,00	21269,00	49629,00	9453,00	475
SHARP RISE GB	6	H	PUR SANG	4	3	1	28089,00	0,00	28089,00	7022,00	395
EASTMAN (GB)	4	M	PUR SANG	7	2	5	27948,00	12574,00	40522,00	3992,00	290
GRAND MACHO	5	H	PUR SANG	9	2	6	27940,00	12570,00	40510,00	3104,00	285
TEN HORNS	5	M	PUR SANG	4	0	4	27706,00	12466,00	40172,00	6926,00	420
BEJAR	5	F	PUR SANG	6	2	4	27388,00	12323,00	39711,00	4564,00	295
ORLHENA	5	F	PUR SANG	6	2	2	27323,00	12294,00	39617,00	4553,00	310
GOLD PLAYER	7	H	PUR SANG	5	1	2	27110,00	12198,00	39308,00	5422,00	370
MANEKI (IRE)	4	M	PUR SANG	2	1	1	27000,00	12150,00	39150,00	13500,00	445
HERCULE STAR GB	3	M	PUR SANG	5	2	3	26970,00	0,00	26970,00	5394,00	365
SAGANO	3	M	PUR SANG	3	2	1	26880,00	20160,00	47040,00	8960,00	430
HATANKA FAL	3	F	PUR SANG	3	2	1	26765,00	20073,00	46838,00	8921,00	400
DRUMARD	5	M	PUR SANG	2	1	1	26722,00	12024,00	38746,00	13361,00	450
GUILLERETTE	4	F	PUR SANG	4	1	1	26722,00	12024,00	38746,00	6680,00	360
WIND OF CHANGE	8	H	PUR SANG	7	1	5	26560,00	11949,00	38509,00	3794,00	320
FELIX AUX ORMES	4	M	PUR SANG	4	0	3	26470,00	11908,00	38378,00	6617,00	385
ANOLANTE	3	H	PUR SANG	5	2	1	26410,00	19807,00	46217,00	5282,00	330
BIG LOG	6	H	PUR SANG	3	1	1	26402,00	11880,00	38282,00	8800,00	390
TONNANT	3	M	PUR SANG	1	1	0	26400,00	19800,00	46200,00	26400,00	435
