Nom	Chevaux	Partants	Victoires	Places	Allocation tot.	Prime Prop.	Alloc. + Prime Prop.	Prim. Eleveur	Gain/Part.	Gain/Chev.	Course/Chev.
WERTHEIMER & FRERE	102	357	63	208	1814943,00	989673,00	2804616,00	245691,00	5083,87	17794	4
GUY PARIENTE HOLDING	110	503	42	287	957416,00	605661,00	1563077,00	165399,00	1903,41	8704	5
AGA KHAN STUDS SC	63	181	45	89	2038939,00	473535,00	2512474,00	149041,00	11264,86	32364	3
MR JEAN-PIERRE-JOSEPH DUBOIS	45	194	25	113	748139,00	392684,00	1140823,00	136934,00	3856,39	16625	4
AL SHAQAB RACING	83	271	25	162	848270,00	442788,00	1291058,00	135103,00	3130,15	10220	3
LG BLOODSTOCK	5	16	3	9	902635,00	193239,00	1095874,00	95822,00	56414,69	180527	3
MR ALAIN CHOPARD	78	400	30	196	489752,00	280450,00	770202,00	83715,00	1224,38	6279	5
ECURIE SKYMARC FARM	51	210	24	109	1283432,00	391224,00	1674656,00	81601,00	6111,58	25165	4
MR JEAN-CLAUDE SEROUL	61	281	24	158	497495,00	267202,00	764697,00	78331,00	1770,44	8156	5
ECURIE DES MONCEAUX	45	162	32	79	1341986,00	435989,00	1777975,00	77888,00	8283,86	29822	4
HARAS DE LA PERELLE	30	123	19	74	435005,00	223572,00	658577,00	70267,00	3536,63	14500	4
FRANKLIN FINANCE S.A.	47	173	19	91	357777,00	210882,00	568659,00	69911,00	2068,08	7612	4
HARAS D'ETREHAM	63	275	23	138	667958,00	373234,00	1041192,00	63004,00	2428,94	10603	4
MR ALAIN JATHIERE	33	151	20	68	338981,00	206564,00	545545,00	62144,00	2244,91	10272	5
GESTUT ZUR KUSTE AG	46	212	19	104	482720,00	302915,00	785635,00	60441,00	2276,98	10494	5
SCUDERIA MICOLO SNC	24	139	15	84	301875,00	161468,00	463343,00	59834,00	2171,76	12578	6
ECURIE HARAS DU CADRAN	59	256	24	141	830070,00	377959,00	1208029,00	54793,00	3242,46	14069	4
HARAS DE BEAUMONT	17	69	11	41	235019,00	172500,00	407519,00	48446,00	3406,07	13825	4
ECURIE NORMANDIE PUR SANG	22	124	15	57	256544,00	115420,00	371964,00	48315,00	2068,90	11661	6
M.BOUTIN (S)	30	184	11	102	248538,00	132300,00	380838,00	47539,00	1350,75	8285	6
MR RASHIT SHAYKHUTDINOV	28	120	14	63	258919,00	158325,00	417244,00	47264,00	2157,66	9247	4
SUMBE	31	100	8	57	256007,00	144300,00	400307,00	47057,00	2560,07	8258	3
YEGUADA CENTURION SLU	27	80	14	37	313579,00	182250,00	495829,00	46819,00	3919,74	11614	3
MR JEAN-PHILIPPE DUBOIS	25	98	9	59	237942,00	138017,00	375959,00	45484,00	2427,98	9518	4
SARL  DARPAT FRANCE	15	70	12	38	259553,00	139347,00	398900,00	41432,00	3707,90	17304	5
MR THIERRY DE LA HERONNIERE	43	200	20	108	369997,00	217277,00	587274,00	40995,00	1849,99	8605	5
SARL  JEDBURGH STUD	51	271	20	143	393165,00	217970,00	611135,00	40944,00	1450,79	7709	5
MR MATHIEU DAGUZAN-GARROS	27	138	14	72	288024,00	128369,00	416393,00	39412,00	2087,13	10668	5
ECURIE LA VALLEE MARTIGNY EARL	25	142	11	82	246284,00	151645,00	397929,00	38692,00	1734,39	9851	6
S.C.E.A. DES PRAIRIES	43	172	23	98	418586,00	245092,00	663678,00	38597,00	2433,64	9735	4
FAL STUD SAS	23	137	12	72	232341,00	137953,00	370294,00	36782,00	1695,92	10102	6
