Nom	Chevaux	Partants	Victoires	Places	Allocation tot.	Prime Prop.	Alloc. + Prime Prop.	Prim. Eleveur	Gain/Part.	Gain/Chev.	Course/Chev.
FH. GRAFFARD (S)	157	349	104	200	3445806,00	978334,00	4424140,00	269587,00	9873,37	21948	2
AP. O'BRIEN	10	13	4	5	2352335,00	348554,00	2700889,00	177761,00	180948,85	235234	1
A&L. FABRE (S)	120	280	46	181	1956215,00	577112,00	2533327,00	163531,00	6986,48	16302	2
C. ESCUDER	138	596	78	351	1265019,00	601857,00	1866876,00	197660,00	2122,52	9167	4
P. COTTIER	57	252	39	159	1122051,00	571278,00	1693329,00	200368,00	4452,58	19685	4
HA. PANTALL (S)	118	417	51	229	1067519,00	458784,00	1526303,00	139999,00	2560,00	9047	4
Y. BARBEROT (S)	59	242	36	146	947765,00	564019,00	1511784,00	147375,00	3916,38	16064	4
J. REYNIER (S)	73	233	41	138	932207,00	436617,00	1368824,00	135187,00	4000,89	12770	3
C. FERLAND (S)	54	159	26	89	852207,00	472213,00	1324420,00	120169,00	5359,79	15782	3
JC. ROUGET (S)	54	146	27	91	737356,00	376406,00	1113762,00	120061,00	5050,38	13655	3
C&Y. LERNER (S)	48	164	13	101	713155,00	362484,00	1075639,00	111086,00	4348,51	14857	3
M. BOUTIN (S)	54	352	27	196	573848,00	286604,00	860452,00	100230,00	1630,25	10627	7
M. DELCHER SANCHEZ	31	106	19	58	567169,00	223485,00	790654,00	65368,00	5350,65	18296	3
M. PITART	68	240	34	137	560779,00	309218,00	869997,00	100964,00	2336,58	8247	4
N. PERRET (S)	62	255	28	160	555640,00	283738,00	839378,00	94066,00	2178,98	8962	4
S. WATTEL (S)	60	181	17	104	553235,00	319590,00	872825,00	102871,00	3056,55	9221	3
M. BARATTI (S)	56	167	22	102	552741,00	310667,00	863408,00	88447,00	3309,83	9870	3
G. MOSSE (S)	44	177	17	102	546518,00	211587,00	758105,00	72938,00	3087,67	12421	4
CHR. HEAD (S)	41	86	17	50	514641,00	241129,00	755770,00	56351,00	5984,20	12552	2
X. THOMAS-DEMEAULTE (S)	53	96	18	59	507144,00	176770,00	683914,00	69235,00	5282,75	9569	2
A. FOUASSIER	79	290	33	161	472771,00	200735,00	673506,00	82327,00	1630,24	5984	4
P&J. BRANDT (S)	27	100	17	56	463619,00	220238,00	683857,00	73653,00	4636,19	17171	4
MME M. SCANDELLA-LACAILLE	65	293	27	195	462646,00	252766,00	715412,00	83708,00	1579,00	7118	5
C. BOUTIN (S)	29	231	22	133	461087,00	212617,00	673704,00	79393,00	1996,05	15900	8
HF. DEVIN (S)	42	107	19	75	432488,00	205229,00	637717,00	57161,00	4041,94	10297	3
A. BOTTI (S)	38	148	16	90	404777,00	194454,00	599231,00	61394,00	2734,98	10652	4
A. MURPHY (S)	54	162	17	100	400290,00	154604,00	554894,00	40557,00	2470,93	7413	3
ED. MONFORT (S)	58	182	22	117	395653,00	208675,00	604328,00	64885,00	2173,92	6822	3
N. CAULLERY	52	203	18	101	388000,00	160581,00	548581,00	60372,00	1911,33	7462	4
M. DELZANGLES	39	118	12	68	364497,00	209328,00	573825,00	66997,00	3088,96	9346	3
MME S. GAVILAN	53	218	21	109	356196,00	198209,00	554405,00	67044,00	1633,93	6721	4
R. FRADET (S)	25	134	16	75	351468,00	199086,00	550554,00	67294,00	2622,90	14059	5
M. BRASME (S)	48	197	21	94	351269,00	188986,00	540255,00	61201,00	1783,09	7318	4
TIM. DONWORTH (S)	34	103	19	53	329777,00	151233,00	481010,00	48828,00	3201,72	9699	3
FR. MONFORT (S)	54	222	17	128	322040,00	164455,00	486495,00	53167,00	1450,63	5964	4
CLEMENT & HERMANS (S)	41	102	15	56	319024,00	157750,00	476774,00	42721,00	3127,69	7781	2
J. BOISNARD (S)	52	177	23	85	310234,00	151515,00	461749,00	51773,00	1752,73	5966	3
F. CHAPPET (S)	36	128	10	69	301101,00	170282,00	471383,00	54281,00	2352,35	8364	4
G. BIETOLINI	52	138	13	67	293765,00	155931,00	449696,00	45508,00	2128,73	5649	3
D. ARTU (S)	26	156	13	84	285840,00	137366,00	423206,00	50115,00	1832,31	10994	6
P. GROUALLE (S)	27	94	9	60	284407,00	153417,00	437824,00	46140,00	3025,61	10534	3
J. ANDREU (S)	27	132	19	82	283555,00	161173,00	444728,00	52212,00	2148,14	10502	5
F. ROHAUT (S)	38	84	9	58	279014,00	113251,00	392265,00	42420,00	3321,60	7342	2
